"stage_id","asset_family","calendar_year","vintage_year","vintage_age","real_investment","survival_weight","net_value_weight","retirement_weight","cfc_weight","gross_stock_contribution","net_stock_contribution","retirement_contribution","cfc_contribution","support_status"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1901,1901,0,407832.614810652,1,1,0,0,407832.614810652,407832.614810652,0,0,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1902,1902,0,459264.436571853,1,1,0,0,459264.436571853,459264.436571853,0,0,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1902,1901,1,407832.614810652,0.99076595405336,0.88178169910749,0.00923404594664012,0.11821830089251,404066.669706952,359619.336039187,3765.94510369994,48213.2787714647,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1903,1903,0,522286.528025719,1,1,0,0,522286.528025719,522286.528025719,0,0,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1903,1902,1,459264.436571853,0.99076595405336,0.88178169910749,0.00923404594664012,0.11821830089251,455023.567662891,404970.975219973,4240.86890896228,54293.4613518803,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1903,1901,2,407832.614810652,0.970308826720946,0.768581621645661,0.0204571273324141,0.113200077461829,395723.585975459,313452.652451161,8343.08373149291,46166.6835880261,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1904,1904,0,449847.342446562,1,1,0,0,449847.342446562,449847.342446562,0,0,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1904,1903,1,522286.528025719,0.99076595405336,0.88178169910749,0.00923404594664012,0.11821830089251,517463.710228618,460542.70210347,4822.81779710063,61743.8259222487,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1904,1902,2,459264.436571853,0.970308826720946,0.768581621645661,0.0204571273324141,0.113200077461829,445628.336604691,352982.205424576,9395.23105819982,51988.7697953971,"partial_vintage_warmup"
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","ME",1904,1901,3,407832.614810652,0.941717699414559,0.663881784838582,0.0285911273063867,0.104699836807079,384063.191765711,270752.644235882,11660.3942097479,42700.0082152795,"partial_vintage_warmup"
