"item","value"
"pass_name","S32_B1_E2B_PO_DUMMY_ROBUSTNESS"
"spec_window_variant_rows","440"
"baseline_D0_rows","110"
"D1_rescue_rows","0"
"D2_fragility_signal_rows","5"
"D3_stress_signal_rows","2"
"not_tested_rows","152"
"historical_prior_used","FALSE"
"s40_authorized","FALSE"
