term,estimate,se,t_stat,p_value
(Intercept),0.004604684878580959,0.07568688402576523,0.06083861078246316,0.9520133130020817
"L(g_Kn, 1)",0.9035133611932413,0.15366969456418797,5.879580640513624,5.418026271589157e-6
"L(g_Kn, 2)",-0.5014427162492715,0.14892366543488417,-3.367112371193441,0.0026622532539042998
r,-1.0400625366713345,0.5098620483724352,-2.0398900839773972,0.053007684071519845
"L(r, 1)",1.1870166686401364,0.6901789049389524,1.7198680807915019,0.09888651828923102
"L(r, 2)",0.2174265847357362,0.432230812061415,0.503033515123032,0.6197239898047148
mu,0.3479640606851232,0.160791346848868,2.164072056764247,0.041087006009619925
"L(mu, 1)",-0.44987154606174096,0.21006204054947297,-2.141612758235532,0.0430454674352134
"L(mu, 2)",0.01686989606605932,0.12830036133935246,0.13148751796137742,0.8965330810024261
pi,1.0880680879845404,0.43919812960733606,2.477396907307699,0.02101436096516249
"L(pi, 1)",-0.7638360049238805,0.5230336233568248,-1.4603956052033296,0.15770772827123997
"L(pi, 2)",-0.29452240499383575,0.2940848397912601,-1.0014878876547537,0.32701165315277436
