spec,order,AIC,BIC,R2,adjR2,F_bounds,F_p,ECT,ECT_p,d_mu,d_mu_p
Baseline (g_K~r+mu+pi),"1,0,1,1",-221.09915621326795,-210.7324612852333,0.8290956177141026,0.7778243030283334,2.354769349777628,0.40708092670576423,-0.38366036305782836,0.0031972774741746146,NA,NA
4-channel,"1,2,1,1,1",-236.23389516631062,-221.13673671005284,0.943396562582414,0.9056609376373567,5.024032468856473,0.010358776919301581,-0.3742642857113206,1.9399985261553647e-5,0.22738492924967937,2.2891715797884762e-10
Parsimonious,"1,1,1",-221.83965614666891,-212.7687980846386,0.8209343706948559,0.778299697050774,3.9936173083245268,0.11113064629832899,-0.41805188627926876,0.0014293254815760702,0.25121353345495356,5.056420690256678e-6
Profitability only,"1,0",-204.77078532135988,-199.58743785734256,0.5792011174151929,0.544134543866459,7.444772771295105,0.013610931688501903,-0.36335174206641957,5.804703893607445e-4,NA,NA
Demand + distribution,"1,1,1",-223.0143689385677,-213.9435108765374,0.8285580883546056,0.7877385855818927,3.2643934655278977,0.21407630165915453,-0.37731468391270934,0.0033239082862657,0.20988872780741066,2.0692330717706404e-7
