term,estimate,se,t_stat,p_value
(Intercept),0.03836191898087369,0.034933694459993746,1.098135183634985,0.2894604542614533
"L(g_K, 1)",0.6257357142886772,0.14500336583602663,4.315318549200262,6.126385594410266e-4
mu,0.22738492924967857,0.03006874674970481,7.562168491505582,1.7101121133376205e-6
"L(mu, 1)",0.022220628616669857,0.04449826756420371,0.4993594095457566,0.624770599290047
"L(mu, 2)",-0.010609637468788359,0.03315045618574346,-0.3200449915181286,0.7533488793790958
B_real,0.0644407757819934,0.09752867332865518,0.6607367206240862,0.5188007886163903
"L(B_real, 1)",-0.09763178872772069,0.08488186020928125,-1.1502079300218413,0.268066112402305
PyPK,-0.05655856670403906,0.04819060340650331,-1.1736430487692648,0.2588371685512115
"L(PyPK, 1)",-0.1120892608828865,0.04508147772477628,-2.4863706014074043,0.02517356436763149
pi,-0.09846526099660392,0.13568099229809916,-0.725711533567428,0.47918629068855045
"L(pi, 1)",0.15666003287332028,0.08449817069120581,1.8540050227338798,0.08350694671128202
