test,statistic,p_value
BG(1),2.5949743479987117,0.10720317518539584
BG(2),7.850580496068578,0.019736407586570227
Breusch-Pagan,3.204371468886036,0.7827934818329947
Jarque-Bera,3.238917081458864,0.19800588218388993
RESET,0.017800522257914394,0.8950752483792245
