rank,order,AIC,BIC,n_eff,df_resid
1,"2,2,2,2",-249.38815638282966,-231.6133105930055,29,17
2,"1,0,1,1",-242.9022986789691,-231.69271962567186,30,23
3,"1,1,1,1",-241.38804379037305,-228.77726735541364,30,22
4,"1,0,2,1",-240.7339306072364,-228.42826813735815,29,21
5,"1,0,1,0",-237.66099402423163,-227.85261235259654,30,24
