rank,order,AIC,BIC,n_eff,df_resid
1,"2,0,2,2",-287.7934333320143,-268.6790675308972,42,32
2,"2,0,2,1",-287.26111438201724,-269.88441819918353,42,33
3,"2,0,3,2",-286.31201508189656,-265.45997966249615,42,31
4,"2,1,2,2",-285.90769492299864,-265.05565950359824,42,31
5,"2,1,2,1",-285.6247613547197,-266.5103955536026,42,32
