rank,order,AIC,BIC,n_params,df_resid
1,"1,0,1,1",-221.09915621326795,-210.7324612852333,8,19
2,"2,2,2,2",-220.94044815334016,-204.58519315906088,13,14
3,"1,0,0,1",-219.50902292105815,-210.43816485902784,7,20
4,"1,1,1,1",-219.33359427751367,-207.6710624834747,9,18
5,"1,0,1,0",-218.56028256054387,-209.48942449851356,7,20
