term,estimate,se,t_stat,p_value
(Intercept),-0.067841969493285,0.05158432606707815,-1.3151663434560739,0.20958847283269932
"L(g_K, 1)",0.8476991280199064,0.17993142073368448,4.711234561275328,3.340196960443343e-4
"L(g_K, 2)",-0.3459913884826248,0.12029021096126599,-2.8763054426268786,0.012199885723450423
mu,0.1860731101695825,0.04564675552003904,4.076370993944924,0.0011332645685684735
"L(mu, 1)",-0.12282804445485832,0.057276945181810084,-2.1444587183372663,0.05003053107112266
"L(mu, 2)",0.06232125044473227,0.0379632874601239,1.6416189064288391,0.12293353037751574
B_real,0.055726635771170444,0.11635162801027113,0.4789502022803762,0.6393684945285454
"L(B_real, 1)",-0.09307256470949059,0.16152630879595017,-0.5762068445894192,0.5736226982027277
"L(B_real, 2)",0.05634215695478584,0.10162205156438196,0.554428454134196,0.5880336878072125
PyPK,-0.0044113314845041236,0.054011428884128396,-0.08167403780351425,0.9360620984260954
"L(PyPK, 1)",-0.07318666265487447,0.0799156929997295,-0.9157983858704972,0.3752779994357073
"L(PyPK, 2)",0.055110749605548744,0.05222331960809449,1.0552900508646852,0.3091645007720503
pi,-0.16642993344624496,0.17241427886248703,-0.9652908943753143,0.3507784843361298
"L(pi, 1)",0.327030096031012,0.20612724836244728,1.5865447126911296,0.13493791216170498
"L(pi, 2)",-0.11757219184644319,0.10501796878020056,-1.1195435715626745,0.2817485648054458
