model,order,AIC,BIC,delta_AIC,delta_BIC,D_wwii_coef,D_wwii_t,D_wwii_p
Base,"2,2,0,2",-293.914341273381,-274.79997547226395,0,0,NA,NA,NA
D_wwii,"2,2,0,2,0",-306.8304201521667,-285.9783847327663,-12.916078878785697,-11.178409260502349,-0.017276929979667944,-3.635656711110386,9.940517178464402e-4
