term,estimate,se,t_stat,p_value
(Intercept),-0.06784196949328462,0.01209632785313343,-5.608476416725995,2.5373582190021428e-5
"d(L(g_K, 1))",0.3459913884826246,0.08319995381472857,4.158552650799369,5.901459456135753e-4
d(mu),0.18607311016958314,0.022648458897120482,8.215707347454021,1.6743111393750827e-7
"d(L(mu, 1))",-0.06232125044473201,0.020905866955667724,-2.981041186997332,0.00800868511111687
d(B_real),0.05572663577116988,0.07796778712513433,0.7147392253384268,0.4839376938565316
"d(L(B_real, 1))",-0.05634215695478587,0.0748626674424574,-0.7526068583929745,0.46141610270268407
d(PyPK),-0.004411331484504505,0.03685407181427245,-0.11969726185848838,0.906048829283657
"d(L(PyPK, 1))",-0.05511074960554871,0.035081189343083206,-1.570948723162792,0.13360652798560751
d(pi),-0.16642993344624388,0.11773330831871669,-1.4136180816027033,0.1745357770150415
"d(L(pi, 1))",0.11757219184644309,0.08521906766391647,1.379646540022235,0.1845948604793067
ect,-0.4982922604627165,0.08967342844145532,-5.556743721335851,2.8285762497708105e-5
