"window","basis","DLR","P_VECM","LR_obs","p_val","B_eff","fail_share","status"
"post_fordism","raw","const",2,43.02969118236,0.356,1999,0,"ok"
"post_fordism","ortho","const",2,43.0296912077404,0.382,1999,0,"ok"
