"window","basis","DLR","r0","stat_type","stat_obs","p_val","B_eff","fail_share","status"
"full","raw","const",0,"trace",NA,NA,199,0,"DISABLED_NO_URCA"
"full","raw","const",0,"maxeig",NA,NA,199,0,"DISABLED_NO_URCA"
"full","raw","const",0,"lr_seq",34.9219673159057,0.0402010050251256,199,0,"ok"
"full","raw","const",1,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","raw","const",1,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","raw","const",1,"lr_seq",23.675953251498,0,198,0.0050251256281407,"ok"
"full","raw","const",2,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","raw","const",2,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","raw","const",2,"lr_seq",7.2018757746273,0,198,0.0050251256281407,"ok"
"full","ortho","const",0,"trace",NA,NA,199,0,"DISABLED_NO_URCA"
"full","ortho","const",0,"maxeig",NA,NA,199,0,"DISABLED_NO_URCA"
"full","ortho","const",0,"lr_seq",34.9219673159594,0.0552763819095477,199,0,"ok"
"full","ortho","const",1,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","ortho","const",1,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","ortho","const",1,"lr_seq",23.6759532514866,0,198,0.0050251256281407,"ok"
"full","ortho","const",2,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","ortho","const",2,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"full","ortho","const",2,"lr_seq",7.20187577462639,0,198,0.0050251256281407,"ok"
"fordism","raw","const",0,"trace",NA,NA,199,0,"DISABLED_NO_URCA"
"fordism","raw","const",0,"maxeig",NA,NA,199,0,"DISABLED_NO_URCA"
"fordism","raw","const",0,"lr_seq",42.5224432671806,0.0402010050251256,199,0,"ok"
"fordism","raw","const",1,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","raw","const",1,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","raw","const",1,"lr_seq",16.2928729910972,0,198,0.0050251256281407,"ok"
"fordism","raw","const",2,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","raw","const",2,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","raw","const",2,"lr_seq",11.3818151227731,0,198,0.0050251256281407,"ok"
"fordism","ortho","const",0,"trace",NA,NA,199,0,"DISABLED_NO_URCA"
"fordism","ortho","const",0,"maxeig",NA,NA,199,0,"DISABLED_NO_URCA"
"fordism","ortho","const",0,"lr_seq",42.5224432670848,0.0301507537688442,199,0,"ok"
"fordism","ortho","const",1,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","ortho","const",1,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","ortho","const",1,"lr_seq",16.2928729910898,0,198,0.0050251256281407,"ok"
"fordism","ortho","const",2,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","ortho","const",2,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"fordism","ortho","const",2,"lr_seq",11.38181512277,0,198,0.0050251256281407,"ok"
"post_fordism","raw","const",0,"trace",NA,NA,199,0,"DISABLED_NO_URCA"
"post_fordism","raw","const",0,"maxeig",NA,NA,199,0,"DISABLED_NO_URCA"
"post_fordism","raw","const",0,"lr_seq",51.8960993723459,0.110552763819095,199,0,"ok"
"post_fordism","raw","const",1,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","raw","const",1,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","raw","const",1,"lr_seq",19.4449418613979,0,198,0.0050251256281407,"ok"
"post_fordism","raw","const",2,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","raw","const",2,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","raw","const",2,"lr_seq",13.0193378549372,0,198,0.0050251256281407,"ok"
"post_fordism","ortho","const",0,"trace",NA,NA,199,0,"DISABLED_NO_URCA"
"post_fordism","ortho","const",0,"maxeig",NA,NA,199,0,"DISABLED_NO_URCA"
"post_fordism","ortho","const",0,"lr_seq",51.8960993723322,0.085427135678392,199,0,"ok"
"post_fordism","ortho","const",1,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","ortho","const",1,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","ortho","const",1,"lr_seq",19.4449418613947,0,198,0.0050251256281407,"ok"
"post_fordism","ortho","const",2,"trace",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","ortho","const",2,"maxeig",NA,NA,198,0.0050251256281407,"DISABLED_NO_URCA"
"post_fordism","ortho","const",2,"lr_seq",13.01933785495,0,198,0.0050251256281407,"ok"
