"audit_item","status","evidence"
"s24a_panel_rows_preserved","PASS","2813 S24A panel rows"
"s24a_ledger_rows_preserved","PASS","29 S24A ledger rows"
"s24a_provenance_rows_preserved","PASS","29 S24A provenance rows"
"s24a_validation_preserved","PASS","S24A_validation_checks.csv PASS 30"
"s24b_panel_rows_preserved","PASS","5936 S24B panel rows"
"s24b_ledger_rows_preserved","PASS","56 S24B ledger rows"
"s24b_provenance_rows_preserved","PASS","56 S24B provenance rows"
"s24b_validation_preserved","PASS","S24B_validation_checks.csv PASS 35"
"s24c_panel_rows_preserved","PASS","593 S24C panel rows"
"s24c_ledger_rows_preserved","PASS","31 S24C ledger rows"
"s24c_provenance_rows_preserved","PASS","31 S24C provenance rows"
"s24c_validation_preserved","PASS","S24C_validation_checks.csv PASS 38"
"s24c_decision_authorizes_s25","PASS","AUTHORIZE_S25_AUTHORIZED_SOURCE_INPUTS_CONSOLIDATION"
"s25_only_consolidates_s24_layers","PASS","S25 binds S24A/S24B/S24C outputs only"
