"construction_family","s23_authorized_object_count","recommended_sequence_order","consolidated_object_count","status"
"income_distribution_source_inputs",29,1,29,"PASS"
"fixed_assets_source_inputs",56,2,56,"PASS"
"provider_source_inputs_other",31,4,31,"PASS"
