"stage_id","relative_path","file_name","file_exists","s29j_sha256","current_sha256","s29j_file_size_bytes","current_file_size_bytes","s29j_row_count_if_csv","current_row_count_if_csv","s29j_column_count_if_csv","current_column_count_if_csv","integrity_status"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_active_candidate_interface_long.csv","S29I_active_candidate_interface_long.csv","yes","9b81f80ad7b5ebbbde5006a6da4423aa13b44c92c0d4c0b034061283823f6b80","9b81f80ad7b5ebbbde5006a6da4423aa13b44c92c0d4c0b034061283823f6b80",1113515,1113515,1849,1849,22,22,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_active_candidate_interface_wide.csv","S29I_active_candidate_interface_wide.csv","yes","287ad64be24596a78f302b37ed60b5d61d20ccf7a1850f4cc53025c87fe8ea46","287ad64be24596a78f302b37ed60b5d61d20ccf7a1850f4cc53025c87fe8ea46",34383,34383,124,124,16,16,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_alias_authority_catalog.csv","S29I_alias_authority_catalog.csv","yes","08612dc55641d572adebfaf37622e3b52ba25ab5248b68dd17e2c14d0959591b","08612dc55641d572adebfaf37622e3b52ba25ab5248b68dd17e2c14d0959591b",6028,6028,12,12,13,13,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_complete_interface_manifest.csv","S29I_complete_interface_manifest.csv","yes","ca6a5fb84aceec013a1c971622a99a8b048c9b137b7e2cad80e1ab5e3a890a9a","ca6a5fb84aceec013a1c971622a99a8b048c9b137b7e2cad80e1ab5e3a890a9a",66067,66067,99,99,23,23,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_conditional_secondary_interface_long.csv","S29I_conditional_secondary_interface_long.csv","yes","50074bb95c57ac55063ffaa696189f2579cc52df1ecbb6ad7f374d61cc04ecb0","50074bb95c57ac55063ffaa696189f2579cc52df1ecbb6ad7f374d61cc04ecb0",812608,812608,1353,1353,22,22,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_contract_status_reconciliation_audit.csv","S29I_contract_status_reconciliation_audit.csv","yes","078637a58934245e47df64ab2b0cbabf9d6f42f896b7ca30f4a3a70ff5fecad6","078637a58934245e47df64ab2b0cbabf9d6f42f896b7ca30f4a3a70ff5fecad6",254,254,5,5,4,4,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_diagnostic_reference_catalog.csv","S29I_diagnostic_reference_catalog.csv","yes","72e521fb3d6dd1dac0622cb7ee4ccd1d94fc1248172b17250e133b42906428ba","72e521fb3d6dd1dac0622cb7ee4ccd1d94fc1248172b17250e133b42906428ba",32808,32808,72,72,11,11,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_growth_representation_selection_lock.csv","S29I_growth_representation_selection_lock.csv","yes","c0905380e54fc11d4bdf7dddead2507b28ed64e8724fa38a391e9aff436a0e62","c0905380e54fc11d4bdf7dddead2507b28ed64e8724fa38a391e9aff436a0e62",408,408,2,2,7,7,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_lag_activation_lock.csv","S29I_lag_activation_lock.csv","yes","7b05aacda3ad1f4210886f0489f61cabfc814391092670e5fc16e0352381f3fa","7b05aacda3ad1f4210886f0489f61cabfc814391092670e5fc16e0352381f3fa",716,716,4,4,9,9,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_lane_membership_audit.csv","S29I_lane_membership_audit.csv","yes","6d16a7598edd36ef82712fe4d6c6cc4e1a909df6c6d703c139ef53584439bc2b","6d16a7598edd36ef82712fe4d6c6cc4e1a909df6c6d703c139ef53584439bc2b",279,279,7,7,3,3,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_net_robustness_level_interface.csv","S29I_net_robustness_level_interface.csv","yes","a54cb04209a831c6b559aa56e43e9cb0cfa0b97fb2d9f8bb741d1c0632ade44d","a54cb04209a831c6b559aa56e43e9cb0cfa0b97fb2d9f8bb741d1c0632ade44d",9613,9613,124,124,6,6,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_net_robustness_log_interface.csv","S29I_net_robustness_log_interface.csv","yes","da435e1342393635d20db354f7bbfe17c65cfe065205e2d43088f7fcae1bcf1b","da435e1342393635d20db354f7bbfe17c65cfe065205e2d43088f7fcae1bcf1b",11483,11483,124,124,6,6,"MATCH"
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","output/US/S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY/csv/S29I_no_alias_duplication_audit.csv","S29I_no_alias_duplication_audit.csv","yes","f052bfdad42479e319991757a2cbc5b7e23115a9364b3659c43e9d42e9d912e4","f052bfdad42479e319991757a2cbc5b7e23115a9364b3659c43e9d42e9d912e4",550,550,3,3,5,5,"MATCH"
