"consumer_registration_status","expected_count","observed_count","reconciliation_status"
"BLOCKED_FROM_CONSUMPTION",0,0,"PASS"
"REGISTERED_ALIAS_REFERENCE",12,12,"PASS"
"REGISTERED_BASELINE_REPRESENTATION",2,2,"PASS"
"REGISTERED_CONDITIONAL_SECONDARY",11,11,"PASS"
"REGISTERED_DIAGNOSTIC_REFERENCE",72,72,"PASS"
"REGISTERED_ROBUSTNESS_REPRESENTATION",2,2,"PASS"
