"p","q_tag","r","best_BIC","best_AIC"
1,"E_only",0,-869.662924468467,-888.050385878978
1,"E_only",1,-843.742613027351,-874.388382044869
1,"E_only",2,-830.541603824376,-869.359577913232
1,"E_short",0,-845.40461686146,-876.050385878978
1,"E_short",1,-862.038199206516,-904.942275831041
1,"E_short",2,-850.562308022617,-901.638589718481
1,"K_only",0,-869.662924468467,-888.050385878978
1,"K_only",1,-847.333839598052,-877.97960861557
1,"K_only",2,-837.408034705126,-876.226008793982
1,"K_short",0,-845.40461686146,-876.050385878978
1,"K_short",1,-862.038199206516,-904.942275831041
1,"K_short",2,-850.562308022617,-901.638589718481
1,"Y_only",0,-869.662924468467,-888.050385878978
1,"Y_only",1,-855.899426487972,-886.545195505491
1,"Y_only",2,-842.871042170463,-881.68901625932
1,"Y_short",0,-845.40461686146,-876.050385878978
1,"Y_short",1,-862.038199206516,-904.942275831041
1,"Y_short",2,-850.562308022617,-901.638589718481
1,"sym",0,-845.40461686146,-876.050385878978
1,"sym",1,-862.038199206516,-904.942275831041
1,"sym",2,-850.562308022617,-901.638589718481
2,"E_only",0,-874.705717926842,-899.222333140857
2,"E_only",1,-822.960210514515,-859.735133335537
2,"E_only",2,-816.866035549379,-861.813163441739
2,"E_short",0,-838.318256516331,-881.222333140857
2,"E_short",1,-838.672981780819,-893.835366012352
2,"E_short",2,-828.968297832794,-892.302887135665
2,"K_only",0,-874.705717926842,-899.222333140857
2,"K_only",1,-818.89122255184,-855.666145372862
2,"K_only",2,-805.172389359511,-850.119517251871
2,"K_short",0,-838.318256516331,-881.222333140857
2,"K_short",1,-831.812419566857,-886.97480379839
2,"K_short",2,-826.200193250684,-889.534782553555
2,"Y_only",0,-874.705717926842,-899.222333140857
2,"Y_only",1,-838.750311664206,-875.525234485228
2,"Y_only",2,-823.514450548661,-868.461578441022
2,"Y_short",0,-838.318256516331,-881.222333140857
2,"Y_short",1,-837.752770865151,-892.915155096684
2,"Y_short",2,-833.965304065241,-897.299893368112
2,"sym",0,-826.189102712827,-875.222333140857
2,"sym",1,-828.198155235351,-889.489693270388
2,"sym",2,-822.48799014519,-891.951733251565
3,"E_only",0,-889.082033737249,-919.727802754767
3,"E_only",1,-809.893906988945,-852.79798361347
3,"E_only",2,-815.34875603254,-866.425037728404
3,"E_short",0,-840.565418523235,-895.727802754767
3,"E_short",1,-823.804686856452,-891.225378694992
3,"E_short",2,-821.463899932172,-897.05679684205
3,"K_only",0,-889.082033737249,-919.727802754767
3,"K_only",1,-805.370466456902,-848.274543081428
3,"K_only",2,-795.825138943935,-846.901420639799
3,"K_short",0,-840.565418523235,-895.727802754767
3,"K_short",1,-814.586854929959,-882.007546768499
3,"K_short",2,-808.734509130373,-884.327406040252
3,"Y_only",0,-889.082033737249,-919.727802754767
3,"Y_only",1,-829.396773312315,-872.30084993684
3,"Y_only",2,-816.729987393776,-867.806269089639
3,"Y_short",0,-840.565418523235,-895.727802754767
3,"Y_short",1,-817.306557790931,-884.727249629472
3,"Y_short",2,-818.122310723454,-893.715207633332
3,"sym",0,-816.307110916227,-883.727802754767
3,"sym",1,-807.216055485486,-886.895054931034
3,"sym",2,-802.801234161025,-890.652438677911
