year,phi_mu_pinned,phi_mu_ect,phi_B_pinned,phi_B_ect
1941,0.08711257468974376,0.6133883973251955,0.10739508155953903,-0.4188807410759128
1942,0.12963162669542433,-0.2723524456905295,0.07470500209112724,0.4766890744770811
1943,0.13445488001889896,-0.5714327461991786,0.04429599818990554,0.7501836244079831
1944,-0.00467481402741366,-0.2498408991154406,0.009595612940691778,0.25476169802871884
1945,-0.16028441380257047,-0.5818285059735047,-0.04799994598903695,0.37354414618189724
1946,-0.11753106848523817,-1.0916666733081968,-0.09371698104624032,0.880418623776718
1947,0.027162397550345052,0.7418951758458547,0.022080596628567206,-0.6926521816669423
1948,0.024508944218702977,0.7513450830657291,0.0503159485922281,-0.6765201902547979
1949,-0.07187420256053556,-0.013504801733518035,0.0010020542040787839,-0.05736734662293874
1950,-0.019045645474395856,0.4531494810431129,0.05128895589651605,-0.42090617062099267
1951,0.034730515627665715,-0.25521749680200423,0.03661322833672376,0.3265612407663936
1952,-0.020259768958748925,-0.5298719794582496,-0.018791157935278524,0.49082105256422226
1953,0.017381433179070316,-0.3210432752452446,-0.008380012724645669,0.3300446956996694
1954,-0.052696557190656024,0.011233108191447572,0.01405334229251265,-0.049876323089591224
1955,0.01717342735530042,0.6098747340557225,0.030479665457453786,-0.5622216412429679
1956,-0.029368842561148134,-0.40568005401996743,-0.020324556007516426,0.35598665545130304
1957,-0.028241635481546457,-0.12604445887819787,-0.007348474846218533,0.09045434855043255
1958,-0.057569485086635175,-0.10620226616470069,-4.362026892301696e-5,0.04858916080914266
1959,0.063176845592674,0.3945145705733922,0.029082738734202584,-0.3022549862465158
1960,0.008096961409021386,-0.26083931254089515,-0.016542199992180318,0.2523940739577363
1961,-0.00615783530175501,0.08258063396226584,0.007151725614349069,-0.08158674364967178
1962,0.045987437527995945,0.21434167281233832,0.017462830985502942,-0.1508914042988393
1963,0.01965791903028069,0.20157607675838565,0.01954456666770754,-0.16237359106039773
1964,0.011865490467619755,0.08526211396025479,0.015640060594946326,-0.0577565628976886
1965,0.01399733571094286,0.17977244968659523,0.028791050334440405,-0.13698406364121185
1966,0.003438724248523539,-0.18022440701389525,0.01852069377273763,0.20218382503515653
1967,-0.03132209028597316,-0.22592409041436678,-0.009793797908884405,0.18480820221950922
1968,0.0030052051268083524,0.011876617342295531,-0.014865467530501053,-0.02373687974598837
1969,-0.004778054540165277,-0.3069422934024144,-0.027809085158950808,0.27435515370329844
1970,-0.046987143884896665,-0.2905674897462235,-0.043554473665136206,0.2000258721961906
1971,-0.007404781563599028,0.24846701421384407,0.0019279419162141487,-0.2539438538612291
1972,0.030058009360284188,0.0231708734367828,0.006793271430779957,0.013680407354281665
1973,0.014548430340277418,-0.03508201281363206,-0.01603777969384057,0.03359266346006873
1974,-0.06886104345868155,-0.2515769767537108,-0.05762109035062385,0.12509484294440554
1975,-0.02732177951329956,0.3141734167052733,0.025769320354410208,-0.3157258758641627
1976,0.02941115330384758,0.07332495886015519,0.015738757762801814,-0.028175047793506103
1977,0.020554508865172738,0.026020193666596563,0.007895216075506084,0.002429531274082297
1978,0.014360758193325218,-0.07175055586992597,-0.0032231082774897835,0.08288820578576139
