"cell_id","det_tag","unit_root_count","unstable_count","max_mod_all","max_mod_nonunit","stability_margin"
"p01_K_only_none_trend","SR_none__LR_trend",1,0,0.999999999999995,0.984410439096436,0.0155895609035641
"p01_K_short_none_trend","SR_none__LR_trend",1,0,0.999999999999984,0.984059845722415,0.0159401542775847
"p01_Y_only_none_trend","SR_none__LR_trend",1,0,1,0.985730777286767,0.0142692227132329
"p01_Y_short_none_trend","SR_none__LR_trend",1,0,0.999999999999984,0.984059845722415,0.0159401542775847
"p01_sym_none_trend","SR_none__LR_trend",1,0,0.999999999999984,0.984059845722415,0.0159401542775847
"p02_K_only_none_trend","SR_none__LR_trend",1,0,0.999999999999999,0.996034240411501,0.00396575958849876
"p02_K_short_none_trend","SR_none__LR_trend",1,0,1.00000000000002,0.996583359953231,0.00341664004676889
"p02_Y_only_none_trend","SR_none__LR_trend",1,0,0.999999999999998,0.99666369543825,0.00333630456174983
"p02_Y_short_none_trend","SR_none__LR_trend",1,0,1.00000000000001,0.996042284143384,0.00395771585661597
"p02_sym_none_trend","SR_none__LR_trend",1,0,1,0.996479372032472,0.00352062796752783
"p03_K_only_none_trend","SR_none__LR_trend",2,0,1.00001088474983,0.345561011678993,0.654438988321007
"p03_K_short_none_trend","SR_none__LR_trend",2,0,1.00000000000002,0.6145773965285,0.3854226034715
"p03_Y_only_none_trend","SR_none__LR_trend",1,0,0.999999999999975,0.998590371919159,0.00140962808084066
"p03_Y_short_none_trend","SR_none__LR_trend",2,0,1.00069666341973,0.458882993598705,0.541117006401295
"p03_sym_none_trend","SR_none__LR_trend",2,0,1.00090171713585,0.630572601520738,0.369427398479262
"p04_K_only_none_trend","SR_none__LR_trend",2,0,1.00073515815412,0.567407113235116,0.432592886764884
"p04_K_short_none_trend","SR_none__LR_trend",2,0,1.00092041815148,0.672267337251943,0.327732662748057
"p04_Y_only_none_trend","SR_none__LR_trend",1,1,1.00134306224812,1.00134306224812,-0.0013430622481212
"p04_Y_short_none_trend","SR_none__LR_trend",1,1,1.00156031019148,1.00156031019148,-0.00156031019147695
"p04_sym_none_trend","SR_none__LR_trend",1,1,1.00200286386947,1.00200286386947,-0.00200286386947091
"p05_K_only_none_trend","SR_none__LR_trend",1,1,1.00136721247414,1.00136721247414,-0.00136721247413818
"p05_K_short_none_trend","SR_none__LR_trend",1,1,1.00174203175878,1.00174203175878,-0.00174203175878418
"p05_Y_only_none_trend","SR_none__LR_trend",1,1,1.00175212255724,1.00175212255724,-0.00175212255723634
"p05_Y_short_none_trend","SR_none__LR_trend",1,1,1.00181249700642,1.00181249700642,-0.00181249700641728
"p05_sym_none_trend","SR_none__LR_trend",1,1,1.00195481213792,1.00195481213792,-0.00195481213792337
"p06_K_only_none_trend","SR_none__LR_trend",1,0,1,0.971712029409792,0.0282879705902077
"p06_K_short_none_trend","SR_none__LR_trend",1,1,1.01722178754785,1.01722178754785,-0.0172217875478498
"p06_Y_only_none_trend","SR_none__LR_trend",1,1,1.01908978479774,1.01908978479774,-0.0190897847977447
"p06_Y_short_none_trend","SR_none__LR_trend",1,0,0.999999999999993,0.996320348049956,0.00367965195004405
"p06_sym_none_trend","SR_none__LR_trend",1,1,1.00467706603141,1.00467706603141,-0.00467706603140661
"p07_K_only_none_trend","SR_none__LR_trend",1,0,0.999999999999997,0.932043649187427,0.0679563508125728
"p07_K_short_none_trend","SR_none__LR_trend",1,1,1.01647374134946,1.01647374134946,-0.0164737413494622
"p07_Y_only_none_trend","SR_none__LR_trend",1,1,1.0167958962643,1.0167958962643,-0.016795896264296
"p07_Y_short_none_trend","SR_none__LR_trend",1,0,1,0.926510207609313,0.0734897923906866
"p07_sym_none_trend","SR_none__LR_trend",1,0,1.00000000000001,0.977658623374845,0.022341376625155
