"year","ECT","series"
1947,1.81955419336043,"p=6"
1948,1.85695249815884,"p=6"
1949,1.80304122926901,"p=6"
1950,1.82534725488845,"p=6"
1951,1.86638545357095,"p=6"
1952,1.84900425975363,"p=6"
1953,1.86148559614853,"p=6"
1954,1.81055506056872,"p=6"
1955,1.8447037943541,"p=6"
1956,1.8167714301591,"p=6"
1957,1.79070400007758,"p=6"
1958,1.73714988731386,"p=6"
1959,1.80396786937345,"p=6"
1960,1.81748864899924,"p=6"
1961,1.81291631639772,"p=6"
1962,1.86192505122867,"p=6"
1963,1.88770118414442,"p=6"
1964,1.91272547497641,"p=6"
1965,1.94534786593281,"p=6"
1966,1.96194591257662,"p=6"
1967,1.94182161779783,"p=6"
1968,1.95495682508526,"p=6"
1969,1.94915179018397,"p=6"
1970,1.89366822807259,"p=6"
1971,1.88067694741866,"p=6"
1972,1.90511584685524,"p=6"
1973,1.91080165486889,"p=6"
1974,1.81356547447022,"p=6"
1975,1.78096961525196,"p=6"
1976,1.80780133889013,"p=6"
1977,1.82845034981547,"p=6"
1978,1.84415869791338,"p=6"
1979,1.82150707949197,"p=6"
1980,1.77036640953078,"p=6"
1981,1.77358997845735,"p=6"
1982,1.74405505339174,"p=6"
1983,1.77445869972826,"p=6"
1984,1.83118821459097,"p=6"
1985,1.84379369442011,"p=6"
1986,1.84283767221532,"p=6"
1987,1.86262349679863,"p=6"
1988,1.88518941262183,"p=6"
1989,1.8796686044006,"p=6"
1990,1.86913567812317,"p=6"
1991,1.86313031834857,"p=6"
1992,1.8704879363653,"p=6"
1993,1.87054010282602,"p=6"
1994,1.89184996747747,"p=6"
1995,1.90505905961767,"p=6"
1996,1.91681351509868,"p=6"
1997,1.93942855224961,"p=6"
1998,1.95062921102436,"p=6"
1999,1.96506658809513,"p=6"
2000,1.97436738331723,"p=6"
2001,1.92961127061253,"p=6"
2002,1.90459110203294,"p=6"
2003,1.90539760595265,"p=6"
2004,1.90363867526445,"p=6"
2005,1.90286468699634,"p=6"
2006,1.89595661790399,"p=6"
2007,1.86739507431166,"p=6"
2008,1.79746007394884,"p=6"
2009,1.78253420596703,"p=6"
2010,1.80915157344363,"p=6"
2011,1.8207862566935,"p=6"
