window,spec,basis,ecdet,p,r0,test,LR_obs,cv_10,cv_05,cv_01,p_boot,sig,reject_10,reject_05,reject_01,B_target,B_eff,boot_fail_rate,policy_mode,cv01_unstable,note
fordism,Q2,ortho,const,1,0,trace,3.965495679584189,5.832864879815469,6.53724073957083,8.193172419183044,0.39269634817408705,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
fordism,Q2,ortho,none,1,0,trace,0.03773113555267614,3.8426177389343685,4.560480810102984,6.058348260247985,0.9184592296148074,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
fordism,Q2,raw,const,1,0,trace,3.9654956795839778,5.777630309809228,6.557772638637502,8.134980585308876,0.3891945972986493,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
fordism,Q2,raw,none,1,0,trace,0.037731135552394136,3.7627840946313578,4.474693918009725,6.014110379161486,0.9229614807403702,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
fordism,Q3,ortho,const,1,0,trace,4.281497192096546,6.2435709050153445,7.104030954128867,8.422984816333903,0.4147073536768384,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
fordism,Q3,ortho,none,1,0,trace,0.005146481375599152,4.227459489805867,4.936953683630053,6.221650120290464,0.9664832416208105,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
fordism,Q3,raw,const,1,0,trace,4.281497192098519,6.274250328525594,6.937661351144188,8.36468480260103,0.43121560780390195,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
fordism,Q3,raw,none,1,0,trace,0.005146481372854159,4.2170610039938925,4.909320143580121,6.334434916572714,0.9704852426213106,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q2,ortho,const,1,0,trace,5.378545618586819,4.960003400612849,5.651699049767641,7.274307418825681,0.06253126563281641,*,TRUE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q2,ortho,none,1,0,trace,0.5354116962581105,3.174658050754557,3.974741357752251,5.407773452877248,0.6178089044522261,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q2,raw,const,1,0,trace,5.378545618586397,4.951010681611377,5.649610975581071,7.324368747025056,0.06753376688344172,*,TRUE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q2,raw,none,1,0,trace,0.535411696259031,3.3044560263647385,4.009455995107133,5.109134626064934,0.6203101550775387,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q3,ortho,const,1,0,trace,5.570452435587491,4.835758577749241,5.596269904122893,7.394968853001981,0.05202601300650325,*,TRUE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q3,ortho,none,1,0,trace,0.48624390055867045,3.076944294936585,3.82650686591372,5.011719268299642,0.567783891945973,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q3,raw,const,1,0,trace,5.570452437991722,4.9341301937782305,5.671687078053747,7.398288441338019,0.05502751375687844,*,TRUE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
full,Q3,raw,none,1,0,trace,0.48624389897160925,3.1285937395886085,3.7972721075307287,5.124196672243519,0.5857928964482241,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q2,ortho,const,1,0,trace,4.147431038009917,5.000363974687313,5.697606280445633,7.439592640975954,0.22511255627813906,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q2,ortho,none,1,0,trace,2.3136939884495336,3.4063386492728407,4.241476167834334,5.920799904148085,0.2226113056528264,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q2,raw,const,1,0,trace,4.147431038242884,4.95206726991769,5.772324587223402,7.258700611560381,0.21260630315157578,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q2,raw,none,1,0,trace,2.313693988391419,3.232206218353718,4.0199305112587185,5.5738505784314425,0.20560280140070036,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q3,ortho,const,1,0,trace,3.637959525880291,5.399809948336678,6.041688769922842,7.686382399539883,0.375687843921961,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q3,ortho,none,1,0,trace,1.0618109624744185,3.282877271203354,4.160400292029026,5.697362474622849,0.43271635817908954,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q3,raw,const,1,0,trace,3.637959875126585,5.188006744562174,5.936563704491323,7.256797938066305,0.3826913456728364,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
post_fordism,Q3,raw,none,1,0,trace,1.0618109122849342,3.053568384752178,3.900986472015125,5.4811929780241755,0.40970485242621313,,FALSE,FALSE,FALSE,1999,1999,0,strict,FALSE,NA
