"relative_path","committed_rows","rerun_rows","committed_cols","rerun_cols","shape_match","notes"
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_us_source_of_truth_panel_wide.csv","101","101","103","103","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_us_source_of_truth_panel_long.csv","10302","10302","3","3","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_variable_dictionary.csv","103","103","5","5","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_validation_checks.csv","52","52","3","3","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_regression_menu_ledger.csv","8","8","6","6","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_elasticity_recovery_protocol_ledger.csv","6","6","4","4","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_corporate_clean_layer_ledger.csv","6","6","4","4","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_financial_imputed_interest_candidate_ledger.csv","28","28","2","2","TRUE",""
"output/US/D10_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_blocked_parked_variable_ledger.csv","13","13","4","4","TRUE",""
