"variable_id","economic_content","sector_boundary","unit","frequency","coverage_start","coverage_end","observation_count","missing_count","duplicate_year_count","source_file"
"CORP_GVA","Gross value added of corporate business","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_CFC","Consumption of fixed capital","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_NVA","Net value added","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_COMP","Compensation of employees","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_NOS","Net operating surplus","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_NET_INT","Net interest and miscellaneous payments","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_TRANSFERS_NET","Business current transfer payments (net)","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_PROFITS_IVA_CC","Corporate profits with IVA and CCAdj","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_TAX","Taxes on corporate income","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_AFTER_TAX","Profits after tax with IVA and CCAdj","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_DIVIDENDS_NET","Net dividends","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_UNDISTRIBUTED","Undistributed profits with IVA and CCAdj","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_PBT","Profits before tax (without IVA and CCAdj)","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"CORP_PAT","Profits after tax (without IVA and CCAdj)","CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_GVA","Gross value added of nonfinancial corporate business","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_CFC","Consumption of fixed capital","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_NVA","Net value added","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_COMP","Compensation of employees","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_NOS","Net operating surplus","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_NET_INT","Net interest and miscellaneous payments","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_TRANSFERS_NET","Business current transfer payments (net)","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_PROFITS_IVA_CC","Corporate profits with IVA and CCAdj","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_TAX","Taxes on corporate income","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_AFTER_TAX","Profits after tax with IVA and CCAdj","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_DIVIDENDS_NET","Net dividends","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_UNDISTRIBUTED","Undistributed profits with IVA and CCAdj","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_PBT","Profits before tax (without IVA and CCAdj)","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_PAT","Profits after tax (without IVA and CCAdj)","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
"NFC_RETAINED","Undistributed profits after tax (without IVA and CCAdj)","NONFINANCIAL_CORPORATE_BUSINESS","Millions of current dollars","A",1929,2025,97,0,0,"output/US/S24A_INCOME_DISTRIBUTION_SOURCE_INPUTS_CONSTRUCTION/csv/S24A_income_distribution_source_inputs_long.csv"
