"year","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA","FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS","CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY","CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA","CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA","FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS"
1929,10979,0.22144902981161,0.20032478195818,270,12337,0.248840211384082,0.225103090902456,1628
1930,7647,0.177432827509397,0.158723898875005,-958,9185,0.213118938233793,0.1906471833617,580
1931,3105,0.0938236538345319,0.0820430164350262,-1448,4627,0.139813863540219,0.12225862706759,74
1932,-99,-0.00419118580923754,-0.00355335415096371,-1418,1298,0.0549511028322256,0.0465884210904131,-21
1933,-339,-0.014824208500962,-0.012613484149427,-1453,829,0.0362515305230016,0.0308453638934365,-285
1934,2577,0.0876649884338005,0.0769253731343284,-1361,3991,0.13576677098925,0.119134328358209,53
1935,4082,0.123835815914814,0.109887743290171,-1216,5607,0.170099808876619,0.150940856596764,309
1936,6238,0.162127040232872,0.146006928190244,-943,7597,0.197447759642374,0.177815747589177,416
1937,6836,0.156806973276752,0.141417902728646,-1049,8140,0.186718660396834,0.168394050352717,255
1938,4815,0.126113148245155,0.111976744186047,-798,6136,0.160712414876899,0.142697674418605,523
1939,6456,0.151909456693099,0.136424148933922,-676,7792,0.183345490482129,0.164655664264734,660
1940,9738,0.198471415469275,0.179983365677849,-459,10858,0.221298277794762,0.200683855466223,661
1941,15484,0.240543101707291,0.22134229147309,-272,16484,0.256078047568004,0.235637195339861,728
1942,20600,0.254038722407202,0.235487779784632,-242,21581,0.266136391663584,0.246702027938453,739
1943,24919,0.257082430620035,0.240805164183143,175,25844,0.266625399773032,0.249743916816451,1100
1944,24923,0.247945641576633,0.232347621800011,346,25615,0.254829980699974,0.238798873827681,1038
1945,20520,0.218639787753188,0.203529026690868,436,21123,0.225064728884532,0.209509923527836,1039
1946,17519,0.179118059034629,0.165575056470744,878,17573,0.179670166756981,0.166085419679227,932
1947,23278,0.197762240138649,0.182568253296001,498,23555,0.200115541131793,0.184740751198011,775
1948,29858,0.221868846368196,0.204418641271232,782,29865,0.221920861972878,0.204466565796951,789
1949,27442,0.210106423704157,0.191872579043783,1016,27442,0.210106423704157,0.191872579043783,1016
1950,34419,0.231270073777431,0.212313557126467,1151,34419,0.231270073777431,0.212313557126467,1151
1951,39153,0.229427792915531,0.210736795646721,1319,39153,0.229427792915531,0.210736795646721,1319
1952,37307,0.208522673284482,0.191291462207797,1571,37307,0.208522673284482,0.191291462207797,1571
1953,38097,0.198541827354026,0.182121959614502,1865,38097,0.198541827354026,0.182121959614502,1865
1954,36726,0.194807054767272,0.177536074251323,1548,36886,0.19565574857446,0.178309525535978,1708
1955,47348,0.221779840836382,0.203165830655093,1930,47488,0.222435606184804,0.203766557534617,2070
1956,46440,0.203715482639879,0.185720627227028,2136,46458,0.203794442129274,0.185792611966263,2154
1957,45527,0.192018456581062,0.173992303018027,1822,45691,0.192710156602572,0.174619068183642,1986
1958,40475,0.175646060711263,0.15759390416266,1238,41030,0.178054549005142,0.159754858253092,1793
1959,50966,0.196154349449247,0.177306346235467,1190,50966,0.196154349449247,0.177306346235467,1190
1960,49545,0.182559480601789,0.165216637377075,1630,49545,0.182559480601789,0.165216637377075,1630
1961,50893,0.182278254329256,0.164846839785054,1170,51325,0.183825504557583,0.166246125242527,1602
1962,58413,0.191446475743493,0.173874088406013,554,59173,0.19393734800763,0.176136329810984,1314
1963,64281,0.197820560954743,0.179876427823887,-435,64677,0.19903922497892,0.18098454788142,-39
1964,71503,0.203381972295702,0.185249571223529,-233,72320,0.2057058338311,0.187366250239648,584
