"year","CORP_NOS","NFC_NOS","FIN_NOS_IMPLIED","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","CORP_NOS_CLEAN_FULL","FIN_NOS_RESIDUAL_FULL","MATCHED_TRANSFER","CORP_NOS_CLEAN_MATCHED","FIN_NOS_RESIDUAL_MATCHED","full_reconciliation_error","matched_reconciliation_error"
1929,12337,10709,1628,9351,10979,270,0,12337,1628,0,0
1930,9253,8605,648,6999,7647,-958,68,9185,580,0,0
1931,4883,4553,330,2775,3105,-1448,256,4627,74,0,0
1932,1666,1319,347,-446,-99,-1418,368,1298,-21,0,0
1933,1399,1114,285,-624,-339,-1453,570,829,-285,0,0
1934,4261,3938,323,2254,2577,-1361,270,3991,53,0,0
1935,5752,5298,454,3628,4082,-1216,145,5607,309,0,0
1936,7838,7181,657,5581,6238,-943,241,7597,416,0,0
1937,8426,7885,541,6295,6836,-1049,286,8140,255,0,0
1938,6339,5613,726,4089,4815,-798,203,6136,523,0,0
1939,7932,7132,800,5656,6456,-676,140,7792,660,0,0
1940,11073,10197,876,8862,9738,-459,215,10858,661,0,0
1941,16721,15756,965,14519,15484,-272,237,16484,728,0,0
1942,21820,20842,978,19622,20600,-242,239,21581,739,0,0
1943,25979,24744,1235,23684,24919,175,135,25844,1100,0,0
1944,25913,24577,1336,23587,24923,346,298,25615,1038,0,0
1945,21462,20084,1378,19142,20520,436,339,21123,1039,0,0
1946,18179,16641,1538,15981,17519,878,606,17573,932,0,0
1947,24046,22780,1266,22012,23278,498,491,23555,775,0,0
1948,30715,29076,1639,28219,29858,782,850,29865,789,0,0
1949,28441,26426,2015,25427,27442,1016,999,27442,1016,0,0
1950,35351,33268,2083,32336,34419,1151,932,34419,1151,0,0
1951,40249,37834,2415,36738,39153,1319,1096,39153,1319,0,0
1952,38565,35736,2829,34478,37307,1571,1258,37307,1571,0,0
1953,39431,36232,3199,34898,38097,1865,1334,38097,1865,0,0
1954,38376,35178,3198,33528,36726,1548,1490,36886,1708,0,0
1955,49048,45418,3630,43718,47348,1930,1560,47488,2070,0,0
1956,48272,44304,3968,42472,46440,2136,1814,46458,2154,0,0
1957,47789,43705,4084,41443,45527,1822,2098,45691,1986,0,0
1958,43321,39237,4084,36391,40475,1238,2291,41030,1793,0,0
1959,53984,49776,4208,46758,50966,1190,3018,50966,1190,0,0
1960,52858,47915,4943,44602,49545,1630,3313,49545,1630,0,0
1961,54711,49723,4988,45905,50893,1170,3386,51325,1602,0,0
1962,62883,57859,5024,53389,58413,554,3710,59173,1314,0,0
1963,69109,64716,4393,59888,64281,-435,4432,64677,-39,0,0
1964,76802,71736,5066,66437,71503,-233,4482,72320,584,0,0
1965,88957,83491,5466,77525,82991,-500,4729,84228,737,0,0
1966,96789,90864,5925,83680,89605,-1259,4863,91926,1062,0,0
1967,96269,89364,6905,80770,87675,-1689,4553,91716,2352,0,0
1968,104090,96448,7642,86300,93942,-2506,5882,98208,1760,0,0
1969,104599,94896,9703,81352,91055,-3841,5053,99546,4650,0,0
1970,95348,84896,10452,67045,77497,-7399,5392,89956,5060,0,0
1971,108847,97659,11188,78744,89932,-7727,6273,102574,4915,0,0
1972,124002,112172,11830,92196,104026,-8146,7542,116460,4288,0,0
1973,138039,125483,12556,101750,114306,-11177,8989,129050,3567,0,0
1974,137593,121293,16300,91151,107451,-13842,7066,130527,9234,0,0
1975,159714,141341,18373,108986,127359,-13982,5116,154598,13257,0,0
1976,188081,169722,18359,139745,158104,-11618,7270,180811,11089,0,0
1977,220349,196884,23465,163843,187308,-9576,5369,214980,18096,0,0
1978,254214,221554,32660,184955,217615,-3939,5991,248223,26669,0,0
1979,261553,226725,34828,183060,217888,-8837,7539,254014,27289,0,0
1980,259716,223441,36275,165294,201569,-21872,0,259716,36275,0,0
1981,315280,273482,41798,200568,242366,-31116,0,315280,41798,0,0
1982,309630,264806,44824,181393,226217,-38589,0,309630,44824,0,0
1983,356159,303155,53004,220499,273503,-29652,0,356159,53004,0,0
1984,434916,373838,61078,279847,340925,-32913,0,434916,61078,0,0
1985,449649,383522,66127,286429,352556,-30966,0,449649,66127,0,0
1986,413928,364294,49634,257124,306758,-57536,6619,407309,43015,0,0
1987,442835,404912,37923,289011,326934,-77978,20784,422051,17139,0,0
1988,488358,456561,31797,320993,352790,-103771,32818,455540,-1021,0,0
1989,506123,457075,49048,297512,346560,-110515,38657,467466,10391,0,0
1990,493252,457022,36230,287343,323573,-133449,53661,439591,-17431,0,0
1991,489313,450831,38482,294146,332628,-118203,73295,416018,-34813,0,0
1992,501640,449070,52570,317752,370322,-78748,71834,429806,-19264,0,0
1993,542179,488755,53424,371217,424641,-64114,60895,481284,-7471,0,0
1994,637379,584811,52568,467840,520408,-64403,67916,569463,-15348,0,0
1995,711162,637426,73736,510963,584699,-52727,75929,635233,-2193,0,0
1996,791760,702808,88952,582848,671800,-31008,73547,718213,15405,0,0
1997,879591,763291,116300,635346,751646,-11645,65034,814557,51266,0,0
1998,881203,744345,136858,596070,732928,-11417,52300,828903,84558,0,0
1999,894212,754597,139615,596318,735933,-18664,62950,831262,76665,0,0
2000,888960,726139,162821,529919,692740,-33399,60413,828547,102408,0,0
2001,830788,664885,165903,440816,606719,-58166,96481,734307,69422,0,0
2002,913682,731045,182637,530698,713335,-17710,121864,791818,60773,0,0
2003,1027260,830127,197133,655929,853062,22935,115400,911860,81733,0,0
2004,1177419,988613,188806,826278,1015084,26471,162335,1015084,26471,0,0
2005,1384109,1157510,226599,982532,1209131,51621,150693,1233416,75906,0,0
2006,1574260,1297836,276424,1114766,1391190,93354,111738,1462522,164686,0,0
2007,1439784,1271768,168016,1009895,1177911,-93857,148477,1291307,19539,0,0
2008,1226760,1217245,9515,891600,901115,-316130,149132,1077628,-139617,0,0
2009,1290752,1086020,204732,784493,989225,-96795,184212,1106540,20520,0,0
2010,1580572,1358883,221689,1054906,1276595,-82288,210756,1369816,10933,0,0
