"concept","corp_id","nfc_id","fin_id"
"GVA","CORP_GVA","NFC_GVA","FIN_GVA_IMPLIED"
"CFC","CORP_CFC","NFC_CFC","FIN_CFC_IMPLIED"
"NVA","CORP_NVA","NFC_NVA","FIN_NVA_IMPLIED"
"COMP","CORP_COMP","NFC_COMP","FIN_COMP_IMPLIED"
"NOS","CORP_NOS","NFC_NOS","FIN_NOS_IMPLIED"
"NET_INT","CORP_NET_INT","NFC_NET_INT","FIN_NET_INT_IMPLIED"
"TRANSFERS_NET","CORP_TRANSFERS_NET","NFC_TRANSFERS_NET","FIN_TRANSFERS_NET_IMPLIED"
"PROFITS_IVA_CC","CORP_PROFITS_IVA_CC","NFC_PROFITS_IVA_CC","FIN_PROFITS_IVA_CC_IMPLIED"
"TAX","CORP_TAX","NFC_TAX","FIN_TAX_IMPLIED"
"AFTER_TAX","CORP_AFTER_TAX","NFC_AFTER_TAX","FIN_AFTER_TAX_IMPLIED"
"DIVIDENDS_NET","CORP_DIVIDENDS_NET","NFC_DIVIDENDS_NET","FIN_DIVIDENDS_NET_IMPLIED"
"UNDISTRIBUTED","CORP_UNDISTRIBUTED","NFC_UNDISTRIBUTED","FIN_UNDISTRIBUTED_IMPLIED"
"PBT","CORP_PBT","NFC_PBT","FIN_PBT_IMPLIED"
"PAT","CORP_PAT","NFC_PAT","FIN_PAT_IMPLIED"
