branch,spec_id,p,q_profile,LogLik,BIC,ICOMP_penalty,RICOMP_penalty,theta,stability_margin,Parameters
SR_const__LR_none,p01_sym,1,sym,288.356904306408,-528.197193398801,0.420323019399012,0.420323019399012,0.860278640549702,0.10039840560802,12
SR_const__LR_none,p01_Y_only,1,Y_only,282.964117621584,-525.497722564822,0.360653938380105,0.360653938380105,0.860278640549702,0.0555708379187251,10
SR_const__LR_none,p01_K_only,1,K_only,288.023722489409,-535.616932300473,0.414358377987728,0.414358377987728,0.860278640549702,0.0818180274857881,10
SR_const__LR_none,p01_Y_short,1,Y_short,288.356904306408,-528.197193398801,0.420323019399012,0.420323019399012,0.860278640549702,0.10039840560802,12
SR_const__LR_none,p01_K_short,1,K_short,288.356904306408,-528.197193398801,0.420323019399012,0.420323019399012,0.860278640549702,0.10039840560802,12
SR_const__LR_none,p02_sym,2,sym,290.550262306948,-516.411704328544,0.402230132484764,0.402230132484764,1.17352288174224,0.0149233197772217,16
SR_const__LR_none,p02_Y_only,2,Y_only,282.55917672655,-516.601738239086,0.324371830512378,0.324371830512378,1.17352288174224,0.0098158700211183891,12
SR_const__LR_none,p02_K_only,2,K_only,287.343192501101,-526.169769788187,0.34474063486333,0.34474063486333,1.17352288174224,0.0221996374305446,12
SR_const__LR_none,p02_Y_short,2,Y_short,287.59545422485,-518.588190700017,0.349132503245373,0.349132503245373,1.17352288174224,0.021256881555682,14
SR_const__LR_none,p02_K_short,2,K_short,288.863336161268,-521.123954572852,0.389853312772848,0.389853312772848,1.17352288174224,0.0127199353489682,14
SR_const__LR_none,p03_sym,3,sym,292.544351125065,-504.22767689344,0.472999408180801,0.472999408180801,0.594315054031312,0.0465434783718721,20
SR_const__LR_none,p03_Y_only,3,Y_only,281.899046947863,-507.195376146041,0.313298409516218,0.313298409516218,0.594315054031312,0.0282635396797208,14
SR_const__LR_none,p03_K_only,3,K_only,286.172147384901,-515.741577020119,0.400430961891304,0.400430961891304,0.594315054031312,0.0686105948353575,14
SR_const__LR_none,p03_Y_short,3,Y_short,288.896360272056,-513.10390025876,0.402500104696262,0.402500104696262,0.594315054031312,0.0558466577954065,16
SR_const__LR_none,p03_K_short,3,K_short,288.403364329696,-512.11790837404,0.397618145472185,0.397618145472185,0.594315054031312,0.0400803393081689,16
SR_const__LR_none,p04_sym,4,sym,291.976466915511,-486.919703402992,0.566221952784105,0.566221952784105,0.815763226797424,0.0905431808380498,24
SR_const__LR_none,p04_Y_only,4,Y_only,278.973144128858,-493.257467972363,0.364470533110833,0.364470533110833,0.815763226797424,0.0433988995783713,16
SR_const__LR_none,p04_K_only,4,K_only,287.831951272154,-510.975082258955,0.515105764149116,0.515105764149116,0.815763226797424,0.173159237531553,16
SR_const__LR_none,p04_Y_short,4,Y_short,288.690397053899,-504.605871286776,0.514462699778305,0.514462699778305,0.815763226797424,0.187187495023594,18
SR_const__LR_none,p04_K_short,4,K_short,288.239491903364,-503.704060985706,0.509724994663385,0.509724994663385,0.815763226797424,0.246807798955948,18
SR_const__LR_none,p05_sym,5,sym,288.28870321727,-463.371970935173,0.588031318901995,0.588031318901995,0.79885027425382,0.0724802569833749,28
SR_const__LR_none,p05_Y_only,5,Y_only,272.739486495929,-472.704050170837,0.382355674932445,0.382355674932445,0.79885027425382,0.0523050050802548,18
SR_const__LR_none,p05_K_only,5,K_only,283.848608452076,-494.922294083129,0.539341509339907,0.539341509339907,0.79885027425382,0.104637811230115,18
SR_const__LR_none,p05_Y_short,5,Y_short,285.134819671434,-489.408613986177,0.533817552365681,0.533817552365681,0.79885027425382,0.107839402504933,20
SR_const__LR_none,p05_K_short,5,K_short,282.036802185463,-483.212579014236,0.532807989424356,0.532807989424356,0.79885027425382,0.321646209958484,20
SR_const__LR_none,p06_sym,6,sym,288.710636778005,-448.043632985304,0.780967793591605,0.780967793591605,0.749606446904459,0.0851897240640224,32
SR_const__LR_none,p06_Y_only,6,Y_only,267.387903616686,-453.914781876681,0.389682796648291,0.389682796648291,0.749606446904459,0.0411941244278655,20
SR_const__LR_none,p06_K_only,6,K_only,282.410878319812,-483.960731282932,0.741079881484859,0.741079881484859,0.749606446904459,0.0662558248913717,20
SR_const__LR_none,p06_Y_short,6,Y_short,284.52788413079,-480.10864036922,0.708227285904954,0.708227285904954,0.749606446904459,0.102420635613164,22
SR_const__LR_none,p06_K_short,6,K_short,276.20175745537,-463.45638701838,0.537347020371433,0.537347020371433,0.749606446904459,0.091974893921511,22
SR_const__LR_none,p07_sym,7,sym,289.398076662747,-433.24630768345,0.696496279979645,0.696496279979645,0.775156286142758,0.0376326601025306,36
SR_const__LR_none,p07_Y_only,7,Y_only,263.889334272145,-438.83154065193,0.363320144542048,0.363320144542048,0.775156286142758,0.0526865908835659,22
SR_const__LR_none,p07_K_only,7,K_only,280.761518590358,-472.575909288355,0.59460665657868,0.59460665657868,0.775156286142758,0.0622246938636574,22
SR_const__LR_none,p07_Y_short,7,Y_short,282.064099328913,-467.094968229796,0.573010272427965,0.573010272427965,0.775156286142758,0.0746752936510525,24
SR_const__LR_none,p07_K_short,7,K_short,273.531891368234,-450.030552308439,0.516047496338668,0.516047496338668,0.775156286142758,0.19266145256462,24
SR_const__LR_trend,p01_sym,1,sym,288.45561562007,-524.351564758291,0.43114672298527,0.43114672298527,0.750094854726913,0.0984938233418882,13
SR_const__LR_trend,p01_Y_only,1,Y_only,283.361578825629,-522.249593705079,0.377314494592593,0.377314494592593,0.750094854726913,0.0536924080460016,11
SR_const__LR_trend,p01_K_only,1,K_only,288.043252197922,-531.612940449664,0.423702555123761,0.423702555123761,0.750094854726913,0.0764166190202793,11
SR_const__LR_trend,p01_Y_short,1,Y_short,288.45561562007,-524.351564758291,0.43114672298527,0.43114672298527,0.750094854726913,0.0984938233418882,13
SR_const__LR_trend,p01_K_short,1,K_short,288.45561562007,-524.351564758291,0.43114672298527,0.43114672298527,0.750094854726913,0.0984938233418882,13
SR_const__LR_trend,p02_sym,2,sym,290.685662441696,-512.639453330204,0.400735194435544,0.400735194435544,2.74638754742551,0.0335965065628383,17
SR_const__LR_trend,p02_Y_only,2,Y_only,282.749381448659,-512.939096415468,0.315694815336037,0.315694815336037,2.74638754742551,0.0298833998431278,13
SR_const__LR_trend,p02_K_only,2,K_only,287.443548530061,-522.327430578272,0.342928356105221,0.342928356105221,2.74638754742551,0.0379429813374667,13
SR_const__LR_trend,p02_Y_short,2,Y_short,287.731805590906,-514.817842164295,0.347555580294113,0.347555580294113,2.74638754742551,0.0376786661644766,15
SR_const__LR_trend,p02_K_short,2,K_short,289.070031986687,-517.494294955857,0.38655210531779,0.38655210531779,2.74638754742551,0.0322523207592698,15
SR_const__LR_trend,p03_sym,3,sym,292.98482519651,-501.065573768494,0.572601458586757,0.572601458586757,0.532542419414132,0.213371039126117,21
SR_const__LR_trend,p03_Y_only,3,Y_only,281.986296534901,-503.326824052283,0.382573475441591,0.382573475441591,0.532542419414132,0.112132677744067,15
SR_const__LR_trend,p03_K_only,3,K_only,287.633252775531,-514.620736533544,0.546104562554373,0.546104562554373,0.532542419414132,0.203751674660554,15
SR_const__LR_trend,p03_Y_short,3,Y_short,289.916820613896,-511.101769674604,0.51031496960268,0.51031496960268,0.532542419414132,0.259898269084586,17
SR_const__LR_trend,p03_K_short,3,K_short,288.55943651668,-508.387001480173,0.489991732173035,0.489991732173035,0.532542419414132,0.293591406760055,17
SR_const__LR_trend,p04_sym,4,sym,292.822234274963,-484.568186854062,0.513401993124267,0.513401993124267,0.610863713819355,0.0911746287408094,25
SR_const__LR_trend,p04_Y_only,4,Y_only,281.373745306976,-494.015619060764,0.366639871503281,0.366639871503281,0.610863713819355,0.00870326939531618,17
SR_const__LR_trend,p04_K_only,4,K_only,288.289233574832,-507.846595596478,0.476757281723589,0.476757281723589,0.610863713819355,0.207996799994497,17
SR_const__LR_trend,p04_Y_short,4,Y_short,288.864903086097,-500.911832083338,0.481697705425066,0.481697705425066,0.610863713819355,0.180487349474404,19
SR_const__LR_trend,p04_K_short,4,K_short,289.96153301742,-503.105091945984,0.473694859453254,0.473694859453254,0.610863713819355,0.124168461312872,19
