branch,winner_source,p,logLik,BIC,ICOMP_pen,RICOMP_pen,k_total,stability_margin
SR_const__LR_none,TAB_top_cells_N10,1,288.023722489409,-535.616932300473,0.414358377987728,0.414358377987728,10,0.0818180274857881
SR_const__LR_trend,TAB_top_cells_N10,1,288.043252197922,-531.612940449664,0.423702555123761,0.423702555123761,11,0.0764166190202793
SR_none__LR_both,TAB_top_cells_N10,1,287.540961582212,-534.651410486079,0.381977671985483,0.381977671985483,10,0.0147802084089261
SR_none__LR_const,TAB_top_cells_N10,1,287.543494315027,-538.699527219543,0.38014677670121,0.38014677670121,9,0.0186687947628522
SR_none__LR_none,TAB_top_cells_N10,1,287.449959768344,-542.555509394011,0.392196964276849,0.392196964276849,8,0.0197105670148034
SR_none__LR_trend,TAB_top_cells_N10,1,287.543493956953,-538.699526503395,0.381334029819804,0.381334029819804,9,0.0155895609035641
