branch,n,mean,sd,min,max,metric
SR_const__LR_none,35,0.8239275443459593,0.16487873642952894,0.594315054031312,1.17352288174224,theta
SR_const__LR_trend,35,0.9494110908291288,0.7471470009560487,0.532542419414132,2.74638754742551,theta
SR_none__LR_both,35,0.966557268115333,0.6277677787404344,0.551779439916527,2.45421897218802,theta
SR_none__LR_const,35,1.3928951168894166,0.9134357859587827,0.723447166419537,3.51663622107367,theta
SR_none__LR_none,35,0.8833853341660318,0.002539866863709565,0.880350690169277,0.888649384098153,theta
SR_none__LR_trend,35,0.8497698539721505,0.11129702758245215,0.724203443287983,1.04525956059079,theta
SR_const__LR_none,35,0.08473615794344778,0.06765672148230467,0.0098158700211183891,0.321646209958484,stability_margin
SR_const__LR_trend,35,0.10433357149029421,0.07129708952866262,0.00870326939531618,0.293591406760055,stability_margin
SR_none__LR_both,35,0.01026486023966447,0.02465148994338889,-0.0182601019825477,0.0770290613046795,stability_margin
SR_none__LR_const,35,0.018910050249651526,0.015063699633706623,0.0093307318958169,0.0775561401528468,stability_margin
SR_none__LR_none,35,0.018725449430203153,0.0032939963342047793,0.012869974734676,0.0240433814546269,stability_margin
SR_none__LR_trend,35,0.0833136977963399,0.17753196529966525,-0.0190897847977447,0.654438988321007,stability_margin
