year,r_struct,d_pi,d_mu,d_p,d_B,d_nu,chi,g_k,g_y,ect,theta_t,mu_t,period,component_distribution,component_utilization,component_prices,component_capacity,component_wedge,G,N,D,net_sign,O,R,S_off,F_rev,swing_id,true_sample,ECT,ext_bind_flag_isi,ext_bind_state_isi,ext_bind_distance_isi,theta_r1,theta_r2,theta_active,mu,regime_code,y,k_nr,y_p,u,wsh,mu_activation_state,theta_state,chi_state,dysfunctionality_state,net_motion_state,dominant_motion_component,dominant_offsetting_component,dominant_net_component
1940,0.08236816643941346,NA,NA,NA,NA,NA,0.357609568639123,NA,NA,-6.052562017806046,1.7125243456137995,1.328707823493963,1940_1946,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,ISI1931_1973,-6.052562017806046,0,relaxed,-0.02875064248421359,1.2384600629994973,1.7125243456137995,1.7125243456137995,1.3278536003683332,high_ect_side,15.403585026344988,17.474384732665918,3685885.016442146,1.3278536003683332,0.6074707800874707,capacity_bias_not_activated,theta_gt_1,intermediate,contained,full_cancellation,distribution,NA,NA
1941,0.08526830249271941,-0.022645994048883678,-0.016496150744345184,0.06665513254956543,0.017497540554737512,-0.010406775845911653,0.33684384970888465,0.010559326978150096,0.0016054819176520851,-6.0367527669421905,1.7142790160257644,1.3069690549101818,1940_1946,-0.022645994048883678,-0.016496150744345184,0.06665513254956543,0.017497540554737512,-0.010406775845911653,0.13370159374344345,0.034603752465162424,0.7411866867379107,1,0.049548920639140515,0.08415267310430294,0.3705933433689554,0.5887979408298434,1,ISI1931_1973,-6.0367527669421905,0,relaxed,-0.03128753920648654,1.240318271412167,1.7142790160257644,1.7142790160257644,1.306128807587598,high_ect_side,15.40519050826264,17.484944059644068,3753213.088625335,1.306128807587598,0.6162600974278495,capacity_bias_not_activated,theta_gt_1,intermediate,grossly_dysfunctional,profitability_rising,relative_prices,distribution,relative_prices
1942,0.0967210545569741,0.11946740149412038,0.033597668758865495,-0.026108069876104492,-0.0011592760700871452,2.3060001751673553e-4,0.23626808375583236,-6.992462003481137e-4,0.032398400557250184,-6.163412227610993,1.715087191061083,1.3516261548428183,1940_1946,0.11946740149412038,0.033597668758865495,-0.026108069876104492,-0.0011592760700871452,2.3060001751673553e-4,0.18056301621669424,0.126028324324311,0.3020258136745788,1,0.027267345946191637,0.15329567027050262,0.1510129068372895,0.17787420804564277,1,ISI1931_1973,-6.163412227610993,0,relaxed,-0.010962605825223536,1.2422877849101224,1.715087191061083,1.715087191061083,1.350757197576023,high_ect_side,15.43758890881989,17.48424481344372,3748714.6774541494,1.350757197576023,0.5675648436860874,capacity_bias_not_activated,theta_gt_1,weak_or_blocked,contained,profitability_rising,distribution,relative_prices,distribution
1943,0.09060320049420847,-0.08574600622336936,0.032207848331040734,-0.009788934397517546,-0.0038563080839342234,0.0018418289003037103,0.27132208706161975,-0.002323534350161083,0.02821863838148886,-6.240265201363993,1.7168715191470698,1.3958677641392834,1940_1946,-0.08574600622336936,0.032207848331040734,-0.009788934397517546,-0.0038563080839342234,0.0018418289003037103,0.13344092593616558,-0.06534157147347669,0.5103333477711758,-1,0.034049677231344444,0.09939124870482113,0.25516667388558784,0.342582246174082,1,ISI1931_1973,-6.240265201363993,1,bind,0.001369923963184243,1.243622364092736,1.7168715191470698,1.7168715191470698,1.3949703640462263,high_ect_side,15.46580754720138,17.48192127909356,3733790.0560811325,1.3949703640462263,0.6030991976573497,capacity_bias_not_activated,theta_gt_1,weak_or_blocked,contained,profitability_falling,distribution,utilization_realization,distribution
1944,0.07496408599212709,-0.05792562349125907,0.01829910791474798,-0.14946715386159032,4.3023117556018065e-4,-8.169542945157815e-4,0.3684712932142057,3.620442540466229e-4,0.018750048513455297,-6.1553096570327765,1.245539995915857,1.4216460393771386,1940_1946,-0.05792562349125907,0.01829910791474798,-0.14946715386159032,4.3023117556018065e-4,-8.169542945157815e-4,0.22693907073767333,-0.189480392557057,0.16506050746949652,-1,0.01872933909030816,0.20820973164736517,0.08253025373474825,0.08995419638707927,1,ISI1931_1973,-6.1553096570327765,0,relaxed,-0.01226281827164997,1.245539995915857,1.718898547468986,1.245539995915857,1.4207320664917358,low_ect_side,15.484557595714834,17.482283323347605,3735474.153289832,1.4207320664917358,0.6254367210587357,capacity_bias_not_activated,theta_gt_1,strong,contained,profitability_falling,relative_prices,utilization_realization,relative_prices
1945,0.09667148237029778,0.05450237872935948,0.0622870472244621,0.12942113593202667,0.01979871446804715,-0.011699971069656812,0.29807301995140745,0.011904471078512557,0.08276647482095001,-6.117202996690797,1.7203139443508937,1.5130120970248604,1940_1946,0.05450237872935948,0.0622870472244621,0.12942113593202667,0.01979871446804715,-0.011699971069656812,0.2777092474235522,0.25430930528423856,0.08426057956804323,1,0.011699971069656812,0.2660092763538954,0.04213028978402161,0.04398331979254482,1,ISI1931_1973,-6.117202996690797,0,relaxed,-0.018377760880306723,1.2476076516844796,1.7203139443508937,1.7203139443508937,1.512039385116506,high_ect_side,15.567324070535784,17.494187794426118,3812763.2426256253,1.512039385116506,0.6044555633395453,capacity_bias_not_activated,theta_gt_1,weak_or_blocked,contained,profitability_rising,relative_prices,wedge,relative_prices
1946,0.11312039043215125,0.07899194243322005,0.05222956376774235,0.01346043465747836,0.028972196219603674,-0.016519934144575643,0.3466725336645896,0.01742084555885981,0.08219707212256111,-6.107607067750084,1.7202097483482064,1.5941361550354158,1946_1949,0.07899194243322005,0.05222956376774235,0.01346043465747836,0.028972196219603674,-0.016519934144575643,0.1901740712226201,0.1571342029334688,0.17373487393281084,1,0.016519934144575643,0.17365413707804445,0.0868674369664054,0.09513124433742214,2,ISI1931_1973,-6.107607067750084,0,relaxed,-0.019917611243015245,1.248109437132555,1.7202097483482064,1.7202097483482064,1.593111288661518,high_ect_side,15.649521142658346,17.511608639984978,3928751.5165807786,1.593111288661518,0.5719435501825137,capacity_bias_not_activated,theta_gt_1,intermediate,contained,profitability_rising,distribution,wedge,distribution
1947,0.08087714852687955,-0.29684544711963945,-0.17730656518993548,0.11181500757677305,0.06140415676230049,-0.03458848716994822,0.5137483721613525,0.03690316120390591,-0.11379727163016362,-5.860581836938859,1.7209716319112858,1.3351256786631711,1946_1949,-0.29684544711963945,-0.17730656518993548,0.11181500757677305,0.06140415676230049,-0.03458848716994822,0.6819596638185967,-0.33552133514044963,0.5080041343476008,-1,0.17321916433907353,0.5087404994795233,0.25400206717380036,0.34048628822806276,2,ISI1931_1973,-5.860581836938859,0,relaxed,-0.05955753496618584,1.24686915000791,1.7209716319112858,1.7209716319112858,1.3342673295135912,high_ect_side,15.535723871028182,17.548511801188884,4186357.351831035,1.3342673295135912,0.6818860563830722,capacity_bias_not_activated,theta_gt_1,strong,contained,profitability_falling,distribution,relative_prices,distribution
1948,0.10592906479522678,0.24214639014871997,0.10708747784932104,-0.09904384765226262,0.044924155097765706,-0.02527582387914684,0.33910686309793153,0.027029350558834153,0.1535507125020903,-6.127510052427425,1.718991899255348,1.4860370914622822,1946_1949,0.24214639014871997,0.10708747784932104,-0.09904384765226262,0.044924155097765706,-0.02527582387914684,0.5184776946272162,0.2698383515643973,0.4795564893907148,1,0.12431967153140946,0.3941580230958067,0.23977824469535747,0.3154056602856248,2,ISI1931_1973,-6.127510052427425,0,relaxed,-0.016723796619778932,1.2462582013444206,1.718991899255348,1.718991899255348,1.4850817217213763,high_ect_side,15.689274583530272,17.575541151747718,4385458.684197408,1.4850817217213763,0.5947289826246759,capacity_bias_not_activated,theta_gt_1,intermediate,contained,profitability_rising,distribution,relative_prices,distribution
1949,0.10992046005169372,0.01052352033782622,-0.08995168784906765,0.08764228781831807,0.06586685835602957,-0.03709363491856443,0.35931120141590434,0.039655238936386894,-0.021831096920728044,-6.0868763905572925,1.717820715633967,1.358201256396189,1949_1955,0.01052352033782622,-0.08995168784906765,0.08764228781831807,0.06586685835602957,-0.03709363491856443,0.29107798927980594,0.03698734374454177,0.8729297813412241,1,0.12704532276763209,0.16403266651217385,0.43646489067061206,0.7745123301900557,3,ISI1931_1973,-6.0868763905572925,0,relaxed,-0.023244244963600377,1.2449829355873432,1.717820715633967,1.717820715633967,1.357328072012114,high_ect_side,15.667443486609544,17.615196390684105,4694608.930447459,1.357328072012114,0.5904415851407467,capacity_bias_not_activated,theta_gt_1,strong,grossly_dysfunctional,profitability_rising,utilization_realization,utilization_realization,relative_prices
