year,swing_id,period,profit_rate,net_motion_state,dysfunctionality_state,theta_state,mu_activation_state,chi_state,ext_bind_state_isi
1940,1,1940_1946,0.08236816643941346,full_cancellation,contained,theta_gt_1,capacity_bias_not_activated,intermediate,relaxed
1941,1,1940_1946,0.08526830249271941,profitability_rising,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,intermediate,relaxed
1942,1,1940_1946,0.0967210545569741,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,relaxed
1943,1,1940_1946,0.09060320049420847,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1944,1,1940_1946,0.07496408599212709,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,strong,relaxed
1945,1,1940_1946,0.09667148237029778,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,relaxed
1946,2,1946_1949,0.11312039043215125,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,intermediate,relaxed
1947,2,1946_1949,0.08087714852687955,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,strong,relaxed
1948,2,1946_1949,0.10592906479522678,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,intermediate,relaxed
1949,3,1949_1955,0.10992046005169372,profitability_rising,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,strong,relaxed
1950,3,1949_1955,0.11859012827290598,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1951,3,1949_1955,0.11111053992368822,profitability_falling,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,intermediate,relaxed
1952,3,1949_1955,0.10430166452800484,profitability_falling,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,strong,relaxed
1953,3,1949_1955,0.1679253378426162,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1954,3,1949_1955,0.1768418184869162,profitability_rising,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1955,4,1955_1961,0.19497731184592443,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1956,4,1955_1961,0.14192207614607,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1957,4,1955_1961,0.12134178022471499,profitability_falling,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,intermediate,bind
1958,4,1955_1961,0.14204143025055613,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1959,4,1955_1961,0.09871354617859225,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,intermediate,bind
1960,4,1955_1961,0.10219934994955274,profitability_rising,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,strong,relaxed
1961,5,1961_1969,0.08331576173865722,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,strong,relaxed
1962,5,1961_1969,0.10540176767223622,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,strong,bind
1963,5,1961_1969,0.11764163254915795,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,strong,bind
1964,5,1961_1969,0.08081800265847054,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,strong,bind
1965,5,1961_1969,0.08456047316630537,profitability_rising,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,strong,bind
1966,5,1961_1969,0.10701468401000194,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,intermediate,bind
1967,5,1961_1969,0.0986216139502493,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,intermediate,bind
1968,5,1961_1969,0.10919443953306651,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,intermediate,bind
1969,6,1969_1972,0.1228895951671377,profitability_rising,contained,theta_gt_1,capacity_bias_not_activated,weak_or_blocked,bind
1970,6,1969_1972,0.11681652030459587,profitability_falling,grossly_dysfunctional,theta_gt_1,capacity_bias_not_activated,intermediate,bind
1971,6,1969_1972,0.10090142974457414,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,strong,bind
1972,7,1972_1974,0.06201378545711935,profitability_falling,contained,theta_gt_1,capacity_bias_not_activated,strong,bind
1973,7,1972_1974,0.08549837507546827,profitability_rising,contained,theta_gt_1,capacity_overaccumulation_activated,intermediate,bind
1974,8,1974_1976,0.09247022904950482,profitability_rising,grossly_dysfunctional,NA,NA,intermediate,NA
1975,8,1974_1976,0.06164083468642437,profitability_falling,contained,theta_gt_1,capacity_overaccumulation_activated,strong,NA
1976,9,1976_1978,0.07038859706332863,profitability_rising,contained,theta_gt_1,capacity_overaccumulation_activated,weak_or_blocked,NA
1977,9,1976_1978,0.07903145569475739,profitability_rising,contained,theta_gt_1,capacity_overaccumulation_activated,weak_or_blocked,NA
1978,9,1976_1978,0.09115777446120946,profitability_rising,contained,theta_gt_1,capacity_overaccumulation_activated,weak_or_blocked,NA
