year,r_struct,period,G,N,D,O,R,S_off,F_rev,net_sign,component,value,component_family,abs_value,contributes_to_net_direction,offsets_net_direction,reinforcing_abs,offsetting_abs,share_of_total_motion,share_of_offsetting_motion,share_of_reinforcing_motion,swing_id
1940,0.08236816643941346,1940_1946,0,0,0,0,0,0,0,0,d_pi,NA,distribution,NA,FALSE,FALSE,0,0,0,0,0,1
1940,0.08236816643941346,1940_1946,0,0,0,0,0,0,0,0,d_mu,NA,utilization_realization,NA,FALSE,FALSE,0,0,0,0,0,1
1940,0.08236816643941346,1940_1946,0,0,0,0,0,0,0,0,d_p,NA,relative_prices,NA,FALSE,FALSE,0,0,0,0,0,1
1940,0.08236816643941346,1940_1946,0,0,0,0,0,0,0,0,d_B,NA,productive_capacity,NA,FALSE,FALSE,0,0,0,0,0,1
1940,0.08236816643941346,1940_1946,0,0,0,0,0,0,0,0,d_nu,NA,wedge,NA,FALSE,FALSE,0,0,0,0,0,1
1941,0.08526830249271941,1940_1946,0.13370159374344345,0.034603752465162424,0.7411866867379107,0.049548920639140515,0.08415267310430294,0.3705933433689554,0.5887979408298434,1,d_pi,-0.022645994048883678,distribution,0.022645994048883678,FALSE,TRUE,0,0.022645994048883678,0.16937714364376608,0.45704313548648273,0,1
1941,0.08526830249271941,1940_1946,0.13370159374344345,0.034603752465162424,0.7411866867379107,0.049548920639140515,0.08415267310430294,0.3705933433689554,0.5887979408298434,1,d_mu,-0.016496150744345184,utilization_realization,0.016496150744345184,FALSE,TRUE,0,0.016496150744345184,0.12338035981829223,0.3329265407108438,0,1
1941,0.08526830249271941,1940_1946,0.13370159374344345,0.034603752465162424,0.7411866867379107,0.049548920639140515,0.08415267310430294,0.3705933433689554,0.5887979408298434,1,d_p,0.06665513254956543,relative_prices,0.06665513254956543,TRUE,FALSE,0.06665513254956543,0,0.49853655953771386,0,0.7920738592219144,1
1941,0.08526830249271941,1940_1946,0.13370159374344345,0.034603752465162424,0.7411866867379107,0.049548920639140515,0.08415267310430294,0.3705933433689554,0.5887979408298434,1,d_B,0.017497540554737512,productive_capacity,0.017497540554737512,TRUE,FALSE,0.017497540554737512,0,0.13087009709333078,0,0.2079261407780856,1
1941,0.08526830249271941,1940_1946,0.13370159374344345,0.034603752465162424,0.7411866867379107,0.049548920639140515,0.08415267310430294,0.3705933433689554,0.5887979408298434,1,d_nu,-0.010406775845911653,wedge,0.010406775845911653,FALSE,TRUE,0,0.010406775845911653,0.07783583990689705,0.21003032380267347,0,1
1942,0.0967210545569741,1940_1946,0.18056301621669424,0.126028324324311,0.3020258136745788,0.027267345946191637,0.15329567027050262,0.1510129068372895,0.17787420804564277,1,d_pi,0.11946740149412038,distribution,0.11946740149412038,TRUE,FALSE,0.11946740149412038,0,0.6616382689949485,0,0.7793266521051149,1
1942,0.0967210545569741,1940_1946,0.18056301621669424,0.126028324324311,0.3020258136745788,0.027267345946191637,0.15329567027050262,0.1510129068372895,0.17787420804564277,1,d_mu,0.033597668758865495,utilization_realization,0.033597668758865495,TRUE,FALSE,0.033597668758865495,0,0.18607170761118008,0,0.2191690652422191,1
1942,0.0967210545569741,1940_1946,0.18056301621669424,0.126028324324311,0.3020258136745788,0.027267345946191637,0.15329567027050262,0.1510129068372895,0.17787420804564277,1,d_p,-0.026108069876104492,relative_prices,0.026108069876104492,FALSE,TRUE,0,0.026108069876104492,0.1445925662028824,0.9574848218680756,0,1
