"run_id","timestamp","message"
1,"2026-02-28 20:33:38","Stage S1 run: SR=const LR=none (P=1..7)"
2,"2026-02-28 20:39:22","Stage S1 run: SR=const LR=none (P=1..7)"
3,"2026-02-28 21:09:18","Stage S1 run: SR=const LR=none (P=1..7)"
4,"2026-03-01 01:06:36","Stage S1 run: SR=const LR=none (P=1..7)"
