design_id,lhs,regressors,n_obs,condition_number,pairwise_correlation_max,rank_status,all_regressors_available,all_standard_regressors_admissible,contains_bounded_control,contains_distributionally_conditioned_path,contains_mechanization_only_path,contains_ratio_path,design_status,notes
D0_y_kKcap,y_t,k_Kcap,94,1.0,,full_rank,True,False,False,False,False,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. baseline total capacity scale
D1_y_kNRC,y_t,k_NRC,94,1.0,,full_rank,True,False,False,False,False,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. NRC plant/envelope scale
D2_y_kME,y_t,k_ME,94,1.0,,full_rank,True,False,False,False,False,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. ME scale diagnostic
D3_y_kME_kNRC,y_t,k_ME + k_NRC,94,4.86957243368399,0.9190700687556587,full_rank,True,False,False,False,False,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. split capital-scale diagnostic
D4_y_kKcap_QMEshare,y_t,k_Kcap + Q_MEshare_Kcap,93,2.578563759647421,0.7385276066293649,full_rank,True,False,False,False,True,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. previous repaired mechanization path
D5_y_kKcap_QMEshare_omega,y_t,k_Kcap + Q_omega_MEshare_Kcap,93,2.6644384849302463,0.7530630198822168,full_rank,True,False,False,True,False,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. previous repaired distribution-conditioned mechanization path
D6_y_kNRC_QMEshare_Kcap,y_t,k_NRC + Q_MEshare_Kcap,93,2.5305192507438248,0.7298585097697297,full_rank,True,False,False,False,True,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. NRC envelope plus mechanization path
D7_y_kNRC_QMEshare_NRC,y_t,k_NRC + Q_MEshare_NRC,93,1.0536561249266576,0.05221859898289147,full_rank,True,False,False,False,True,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. NRC envelope plus NRC-weighted mechanization path
D8_y_kNRC_Q_ME_NRC_ratio_Kcap,y_t,k_NRC + Q_ME_NRC_ratio_Kcap,93,2.2981215295945385,0.6815977458119938,full_rank,True,False,False,False,True,True,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. NRC envelope plus ME/NRC ratio path
D9_y_kNRC_Q_ME_NRC_ratio_NRC,y_t,k_NRC + Q_ME_NRC_ratio_NRC,93,1.0932749765590508,0.08894210630285398,full_rank,True,False,False,False,True,True,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. NRC envelope plus NRC-weighted ME/NRC ratio path
D10_y_kNRC_Q_log_ME_NRC_ratio_Kcap,y_t,k_NRC + Q_log_ME_NRC_ratio_Kcap,93,12.500213746171191,0.9872818312373799,full_rank,True,False,False,False,True,True,NEAR_COLLINEAR_WARNING,Pairwise correlation exceeds 0.98. NRC envelope plus log ME/NRC path
D11_y_kNRC_Q_log_ME_NRC_ratio_NRC,y_t,k_NRC + Q_log_ME_NRC_ratio_NRC,93,12.72226008982353,0.9877192046589702,full_rank,True,False,False,False,True,True,NEAR_COLLINEAR_WARNING,Pairwise correlation exceeds 0.98. NRC envelope plus NRC-weighted log ME/NRC path
D12_y_kNRC_Qomega_MEshare_Kcap,y_t,k_NRC + Q_omega_MEshare_Kcap,93,2.5722248085121424,0.7374066969494314,full_rank,True,False,False,True,False,False,PASS_DESIGN_DIAGNOSTICS,Condition number below 30; no near-perfect pairwise correlation. NRC envelope plus distribution-conditioned mechanization path
