year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained,ME_share_repaired,ME_NRC_ratio_repaired,log_ME_NRC_ratio_repaired,d_k_Kcap,d_k_NRC,Q_MEshare_Kcap,Q_omega_MEshare_Kcap,Q_MEshare_NRC,Q_omega_MEshare_NRC,Q_ME_NRC_ratio_Kcap,Q_omega_ME_NRC_ratio_Kcap,Q_ME_NRC_ratio_NRC,Q_omega_ME_NRC_ratio_NRC,Q_log_ME_NRC_ratio_Kcap,Q_omega_log_ME_NRC_ratio_Kcap,Q_log_ME_NRC_ratio_NRC,Q_omega_log_ME_NRC_ratio_NRC
1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,12.846657305523054,,,,,,,,,,,,0.632503689129365,0.624785607415246,,,,,,,,,,,,,,,,,,,,,
1930,12.775004900102946,,,,,,,,,,,,0.636138668552111,0.639461995101499,,,,,,,,,,,,,,,,,,,,,
1931,12.67415255060452,15.40538214889,78075.2476109589,78090.6529931078,2.734716938549776,11.265428353596253,11.265625648679741,,,,0.0001972756220933,0.9998027243779066,0.663881911320595,0.670321830576547,,,,,0.0001972756220933338,0.00019731454744342878,-8.530711415046477,,,,,,,,,,,,,,
1932,12.510626584202145,17.827921412213,116633.491116931,116651.319038343,2.880765846964486,11.666791742504111,11.666944585043964,0.14604890841471,0.4013633889078587,0.4013189363642233,0.0001528308600295,0.9998471691399704,0.677734147194899,0.68242345931589,0.2664283825226288,7.91704428290872e-05,,-4.44447620637702e-05,0.0001528308600295636,0.00015285422087159856,-8.786025895539625,0.40131893636422333,0.4013633889078587,7.91704428290872e-05,5.25598249054723e-05,7.917921223228651e-05,5.25656467536294e-05,7.918606430918491e-05,5.257019572353724e-05,7.919483544271505e-05,5.2576018720429665e-05,-3.423536031516591,-2.2728236440781595,-3.423915243338009,-2.273075395946958
1933,12.484983866269708,20.3854719997967,126177.140667191,126197.526139191,3.014822490273296,11.745442076923004,11.745603626196568,0.1340566433088099,0.0786503344188922,0.0786590411526031,0.0001615362251817,0.9998384637748184,0.664517937219731,0.669816937044203,0.3197383006973568,9.119197173754038e-05,-3.4959823681917548e-06,8.705365152159424e-06,0.00016153622518172303,0.0001615623233495685,-8.730619586649707,0.07865904115260314,0.07865033441889224,9.119197173754038e-05,6.070722554822164e-05,9.11994104831386e-05,6.0712145564284256e-05,9.120943075907308e-05,6.071884173086395e-05,9.121687103160549e-05,6.0723762757813055e-05,-4.114636404001679,-2.7412059656504177,-4.114939118235248,-2.7414058724917525
1934,12.615582894346948,23.3843313809032,144140.820530433,144164.204861813,3.1520661989753482,11.87854602105577,11.878708240437131,0.1372437087020523,0.1331039441327668,0.1331046142405636,0.0001622062245154,0.9998377937754848,0.622061999745903,0.628208955223881,0.4081887043869242,0.00011269318867623046,-2.337258097790329e-06,6.699993337025846e-07,0.00016220622451542562,0.00016223253964317468,-8.726479822080423,0.13310461424056363,0.13310394413276683,0.00011269318867623046,7.49951698760339e-05,0.0001127005191751447,7.500001796023338e-05,0.0001127141214843266,7.50090944521577e-05,0.00011272145349268646,7.501394353562219e-05,-5.276722156163798,-3.513432792549628,-5.27701901994111,-3.51362881165784
1935,12.699893504330326,27.2489183307013,164451.479820732,164478.728739063,3.305013826035223,12.010370850182566,12.010536532249365,0.1529476270598748,0.1318248291267956,0.1318282918122335,0.000165668342281,0.9998343316577188,0.616558357905585,0.620669233047083,0.4901940752147286,0.00013407655817541066,-2.248933230112983e-06,3.462117765662593e-06,0.0001656683422810882,0.00016569579282840906,-8.705357024147343,0.13182829181223354,0.1318248291267956,0.00013407655817541066,8.829695146799949e-05,0.00013408332700519333,8.830145015917578e-05,0.0001341009600618468,8.831303402593273e-05,0.00013410773030995407,8.831753365969112e-05,-6.427119084642584,-4.229051006380686,-6.427385731365291,-4.229228228607484
1936,12.8333150387024,32.1645930081474,190875.631437173,190907.796030181,3.4708662515308477,12.159377350634246,12.159545847173227,0.1658524254956246,0.14900650045168,0.1490093149238625,0.0001684823442362,0.9998315176557636,0.61320426040215,0.614970508379365,0.5820670137368215,0.00015876268436328757,-1.7330454336658665e-06,2.814001955196466e-06,0.00016848234423628468,0.00016851073532000036,-8.6885110991034,0.1490093149238625,0.14900650045168007,0.00015876268436328757,0.00010351738889344694,0.00015876898692412938,0.00010352160010261071,0.00015879117663697428,0.00010353599341382659,0.0001587974805388819,0.0001035402055179379,-7.724298370978413,-5.028837737073044,-7.724540516715939,-5.0289998530126505
1937,12.913354459832034,38.5634855982832,226871.067160055,226909.630645653,3.6523058598033886,12.332137149019289,12.332307114316963,0.1814396082725409,0.1727597983850426,0.1727612671437359,0.0001699508543932,0.9998300491456068,0.629079145811021,0.63195349510747,0.6880049587818343,0.00018786990764489524,-1.2468948901411743e-06,1.4685101569549225e-06,0.0001699508543932396,0.00016997974259572328,-8.6798312892159,0.17276126714373596,0.17275979838504263,0.00018786990764489524,0.0001213660622182054,0.00018787596274582927,0.00012137012168389946,0.00018790330479818025,0.0001213876744316515,0.00018790936119848043,0.00012139173476672269,-9.22533655805193,-5.9492807484128445,-9.225565942463247,-5.949435039052851
1938,12.837894802799829,44.2363726303617,245889.131872974,245933.368245604,3.78954736086788,12.412636029882998,12.412815917434862,0.1372415010644911,0.0804988808637094,0.0805088031178993,0.0001798713730711,0.9998201286269288,0.633989364345709,0.634093023255814,0.7386513678775101,0.00020155244752095933,-1.1286668950382552e-06,9.920518677959537e-06,0.00017987137307119914,0.00017990373260260301,-8.623088669015118,0.08050880311789932,0.08049888086370949,0.00020155244752095933,0.00012997346271596504,0.0002015568163263163,0.00012997646136827788,0.00020158817042885052,0.00012999653801313215,0.00020159254024693758,0.00012999953735450535,-9.924139386411996,-6.38888303476792,-9.924282647330935,-6.388983146914907
