"design_id","lhs","regressors","test_type","lag","eg_statistic","p_value","n_obs","package","package_version","model_order_status","eg_classification","notes"
"D0_y_kKcap","y_t","k_Kcap","type1",3,-0.151167007763112,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D0_y_kKcap","y_t","k_Kcap","type2",3,1.82548470136077,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D0_y_kKcap","y_t","k_Kcap","type3",3,-3.80333253255386,0.0653732228290113,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D1_y_kNRC","y_t","k_NRC","type1",3,1.3079293109157,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D1_y_kNRC","y_t","k_NRC","type2",3,2.71782931366186,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D1_y_kNRC","y_t","k_NRC","type3",3,-3.54999483018256,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D2_y_kME","y_t","k_ME","type1",3,-3.48194904900641,0.0113141010248562,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_STRONG","aTSA coint.test completed."
"D2_y_kME","y_t","k_ME","type2",3,0.450264135528161,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_STRONG","aTSA coint.test completed."
"D2_y_kME","y_t","k_ME","type3",3,0.0804759007083727,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_STRONG","aTSA coint.test completed."
"D3_y_kME_kNRC","y_t","k_ME + k_NRC","type1",3,-2.65649772113625,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"D3_y_kME_kNRC","y_t","k_ME + k_NRC","type2",3,0.744060165907719,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
