idx,start_idx,end_idx,start_year,end_year,duration,amplitude,pace,direction
1,4,8,1943,1947,4,-3.143505414499827,-0.7858763536249568,contraction
2,8,15,1947,1954,7,-0.5584000603876005,-0.07977143719822864,contraction
3,15,19,1954,1958,4,-0.5433271585636288,-0.1358317896409072,contraction
4,19,21,1958,1960,2,0.17708213171014298,0.08854106585507149,expansion
5,21,26,1960,1965,5,0.3927550206824768,0.07855100413649536,expansion
