shock_var,horizon,beta,se
ln_r_t,0,0.0254766349351034,0.019525647281773622
ln_r_t,1,-0.004541889597339032,0.019344760501245784
ln_r_t,2,-0.022566509482215932,0.019096655307764672
ln_r_t,3,-0.030468489899103775,0.019427330029625805
GD_t,0,-0.2348277894045593,0.12063555321943074
GD_t,1,0.2687567871466868,0.10635915171910838
GD_t,2,0.3403761517615894,0.09331469265404371
GD_t,3,0.15722107590148074,0.10446348209093488
RR_t,0,-0.10991196001974049,0.05239398497997331
RR_t,1,0.12180912474101836,0.046219724826755286
RR_t,2,0.13972559385815492,0.04177297717651933
RR_t,3,0.060844537639706785,0.046180944655261
