spec_id,run_tag,spec,degree,window,ecdet,basis,eg_det,p,r,n_obs,eg_formula,adf_stat,adf_pval,adf_det,boot_pval,boot_B,gate_pass,notes
Q2_ortho__fordism__const__EG_intercept,Q2_ortho,Q2,2,fordism,const,ortho,intercept,1,1,49,logY ~ logK + x1 + x2,-2.473888082413732,0.12962415239890462,intercept,0.0538053805380538,9999,FALSE,ok
Q2_ortho__fordism__const__EG_trend,Q2_ortho,Q2,2,fordism,const,ortho,trend,1,1,49,logY ~ logK + x1 + x2 + t_idx,-1.892813352543064,0.6386022403866887,trend,0.47634763476347636,9999,FALSE,ok
Q2_ortho__fordism__none__EG_intercept,Q2_ortho,Q2,2,fordism,none,ortho,intercept,1,1,49,logY ~ logK + x1 + x2,-2.473888082413732,0.12962415239890462,intercept,0.054705470547054706,9999,FALSE,ok
Q2_ortho__fordism__none__EG_trend,Q2_ortho,Q2,2,fordism,none,ortho,trend,1,1,49,logY ~ logK + x1 + x2 + t_idx,-1.892813352543064,0.6386022403866887,trend,0.47084708470847086,9999,FALSE,ok
Q2_ortho__full__const__EG_intercept,Q2_ortho,Q2,2,full,const,ortho,intercept,1,1,99,logY ~ logK + x1 + x2,-2.815492201114869,0.06027413078558195,intercept,0.06790679067906791,9999,FALSE,ok
Q2_ortho__full__const__EG_trend,Q2_ortho,Q2,2,full,const,ortho,trend,1,1,99,logY ~ logK + x1 + x2 + t_idx,-2.6678795708907335,0.2524686207335374,trend,0.3459345934593459,9999,FALSE,ok
Q2_ortho__full__none__EG_intercept,Q2_ortho,Q2,2,full,none,ortho,intercept,1,1,99,logY ~ logK + x1 + x2,-2.815492201114869,0.06027413078558195,intercept,0.07580758075807581,9999,FALSE,ok
Q2_ortho__full__none__EG_trend,Q2_ortho,Q2,2,full,none,ortho,trend,1,1,99,logY ~ logK + x1 + x2 + t_idx,-2.6678795708907335,0.2524686207335374,trend,0.33283328332833284,9999,FALSE,ok
Q2_ortho__post_fordism__const__EG_intercept,Q2_ortho,Q2,2,post_fordism,const,ortho,intercept,1,1,50,logY ~ logK + x1 + x2,-2.149275391843667,0.22743591009349795,intercept,0.3359335933593359,9999,FALSE,ok
Q2_ortho__post_fordism__const__EG_trend,Q2_ortho,Q2,2,post_fordism,const,ortho,trend,1,1,50,logY ~ logK + x1 + x2 + t_idx,-2.586911203590051,0.28800769309887236,trend,0.1925192519251925,9999,FALSE,ok
Q2_ortho__post_fordism__none__EG_intercept,Q2_ortho,Q2,2,post_fordism,none,ortho,intercept,1,1,50,logY ~ logK + x1 + x2,-2.149275391843667,0.22743591009349795,intercept,0.33523352335233525,9999,FALSE,ok
Q2_ortho__post_fordism__none__EG_trend,Q2_ortho,Q2,2,post_fordism,none,ortho,trend,1,1,50,logY ~ logK + x1 + x2 + t_idx,-2.586911203590051,0.28800769309887236,trend,0.1861186118611861,9999,FALSE,ok
Q2_raw__fordism__const__EG_intercept,Q2_raw,Q2,2,fordism,const,raw,intercept,1,1,49,logY ~ logK + x1 + x2,-2.4738880824137364,0.12962415239890357,intercept,0.0555055505550555,9999,FALSE,ok
Q2_raw__fordism__const__EG_trend,Q2_raw,Q2,2,fordism,const,raw,trend,1,1,49,logY ~ logK + x1 + x2 + t_idx,-1.8928133525430615,0.63860224038669,trend,0.4813481348134813,9999,FALSE,ok
Q2_raw__fordism__none__EG_intercept,Q2_raw,Q2,2,fordism,none,raw,intercept,1,1,49,logY ~ logK + x1 + x2,-2.4738880824137364,0.12962415239890357,intercept,0.054405440544054405,9999,FALSE,ok
Q2_raw__fordism__none__EG_trend,Q2_raw,Q2,2,fordism,none,raw,trend,1,1,49,logY ~ logK + x1 + x2 + t_idx,-1.8928133525430615,0.63860224038669,trend,0.47684768476847683,9999,FALSE,ok
Q2_raw__full__const__EG_intercept,Q2_raw,Q2,2,full,const,raw,intercept,1,1,99,logY ~ logK + x1 + x2,-2.8154922011148518,0.060274130785584364,intercept,0.07240724072407241,9999,FALSE,ok
Q2_raw__full__const__EG_trend,Q2_raw,Q2,2,full,const,raw,trend,1,1,99,logY ~ logK + x1 + x2 + t_idx,-2.66787957089073,0.2524686207335388,trend,0.33823382338233826,9999,FALSE,ok
