spec_id,run_tag,spec,degree,basis,window,det,lags_gate,n_obs,stat_EG,p_EG,stat_JOH,p_JOH,stat_BOS,p_BOS,stat_BAN,p_BAN,bh_stat_ej,p_BH_ej,bh_stat_all,p_BH_all,gate1_pass,ardl_case,ardl_order,F_stat,F_decision,t_stat,t_decision,gate2_pass,stage3_admissible,notes
Q2_raw__post_fordism__const,Q2_raw,Q2,2,raw,post_fordism,const,1,50,-2.3091025732358403,0.7535000000009999,24.546054792186986,0.116600000001,20.27588786581349,0.017500000001,-1.1528479332784813,0.8775000000009999,4.864064531942858,0.2906,13.216529975215861,0.1613,FALSE,3,"(1,1,1,1)",2.4067204664294044,fail_I0,-0.8245391772518542,reject_I1,FALSE,NO,ok || ok
Q2_raw__post_fordism__none,Q2_raw,Q2,2,raw,post_fordism,none,1,50,-2.793209951262737,0.313800000001,23.061944608382706,0.066700000001,3.789566578749394,0.785200000001,-1.1278052183395963,0.725000000001,7.733099529451168,0.1206,8.85990041086045,0.3344,FALSE,1,"(1,1,1,1)",2.523503779890806,between,-0.6950914996222021,reject_I1,FALSE,NO,ok || ok
Q3_ortho__full__const,Q3_ortho,Q3,3,ortho,full,const,1,99,-2.7940337008048663,0.682300000001,64.34716675741747,1e-12,3.5576298663500285,0.967600000001,-1.5111052149273565,0.844300000001,56.02661390217568,NA,56.43098169727714,4e-4,TRUE,3,"(1,1,1,1,1)",4.1588376522050625,reject_I1,-0.3710222996253945,reject_I1,TRUE,YES,ok || ok
Q3_ortho__full__none,Q3_ortho,Q3,3,ortho,full,none,1,99,-2.419831562304157,0.698600000001,52.54657634071878,1e-12,2.4764249153937836,0.968400000001,-1.2381068439878287,0.775900000001,55.979396125073045,NA,56.55107949906933,NA,NA,1,"(1,1,1,1,1)",2.0581268997707935,fail_I0,0.5114276293564278,reject_I1,FALSE,NO,ok || ok
Q3_ortho__fordism__const,Q3_ortho,Q3,3,ortho,fordism,const,1,49,-3.072932693386616,0.5357000000009999,47.07913970198322,8.00000001e-4,33.66026800248828,5.00000001e-4,-3.8161885346099447,0.07180000000100001,15.510159610279404,0.0114,35.97970613119163,0.0035,TRUE,3,"(1,1,1,1,1)",20.018661175845473,reject_I1,-3.0055583159822166,between,TRUE,YES,ok || ok
Q3_ortho__fordism__none,Q3_ortho,Q3,3,ortho,fordism,none,1,49,-2.96805133957536,0.41150000000099995,46.585146956649076,2.00000001e-4,25.391450556218302,0.003000000001,-2.8347252913764844,0.206200000001,18.81027889055764,0.0042,33.586382285307884,0.0034,TRUE,1,"(1,1,1,1,1)",24.45502571263344,reject_I1,-2.857628551553513,between,TRUE,YES,ok || ok
Q3_ortho__post_fordism__const,Q3_ortho,Q3,3,ortho,post_fordism,const,1,50,-2.432735141217287,0.832800000001,35.6022700868655,0.030400000001,23.786077936437604,0.015200000001,-0.6313127024720424,0.968300000001,7.352548864434487,0.1338,15.78989521128996,0.1033,FALSE,3,"(1,1,1,1,1)",1.9470252272596777,fail_I0,-0.5655918277050168,reject_I1,FALSE,NO,ok || ok
Q3_ortho__post_fordism__none,Q3_ortho,Q3,3,ortho,post_fordism,none,1,50,-2.980028127566335,0.40590000000099996,36.234345372687784,0.007800000001,8.8737131429874,0.451000000001,-0.6955326355903421,0.8926000000009999,11.510560000586414,0.0369,13.330369333112593,0.1539,FALSE,1,"(1,1,1,1,1)",2.685694619371909,between,-0.29875858587936666,reject_I1,FALSE,NO,ok || ok
Q3_raw__full__const,Q3_raw,Q3,3,raw,full,const,1,99,-2.7940337008047376,0.682300000001,64.3471667746577,1e-12,3.5576298662602,0.967600000001,-1.5111052149274211,0.844300000001,56.02661390217568,NA,56.43098169727714,4e-4,TRUE,3,"(1,1,1,1,1)",4.158837652078352,reject_I1,-0.3710222996249783,reject_I1,TRUE,YES,ok || ok
Q3_raw__full__none,Q3_raw,Q3,3,raw,full,none,1,99,-2.419831562304137,0.698600000001,52.54657637860806,1e-12,2.4764249166927783,0.968400000001,-1.2381068439879563,0.775900000001,55.979396125073045,NA,56.55107949906933,NA,NA,1,"(1,1,1,1,1)",2.0581268995128994,fail_I0,0.5114276293563659,reject_I1,FALSE,NO,ok || ok
Q3_raw__fordism__const,Q3_raw,Q3,3,raw,fordism,const,1,49,-3.0729326933865098,0.5357000000009999,47.07913969891938,8.00000001e-4,33.66026800434463,5.00000001e-4,-3.8161885346093345,0.07180000000100001,15.510159610279404,0.0114,35.97970613119163,0.0035,TRUE,3,"(1,1,1,1,1)",20.018661176878595,reject_I1,-3.00555831598173,between,TRUE,YES,ok || ok
Q3_raw__fordism__none,Q3_raw,Q3,3,raw,fordism,none,1,49,-2.9680513395753185,0.41150000000099995,46.585146951049,2.00000001e-4,25.39145055568747,0.003000000001,-2.8347252913772403,0.206200000001,18.81027889055764,0.0042,33.586382285307884,0.0034,TRUE,1,"(1,1,1,1,1)",24.45502571017132,reject_I1,-2.857628551553104,between,TRUE,YES,ok || ok
Q3_raw__post_fordism__const,Q3_raw,Q3,3,raw,post_fordism,const,1,50,-2.4327351412173046,0.832800000001,35.60227002560447,0.030400000001,23.786077936893776,0.015200000001,-0.6313127024721465,0.968300000001,7.352548864434487,0.1338,15.78989521128996,0.1033,FALSE,3,"(1,1,1,1,1)",1.9470252270825994,fail_I0,-0.5655918277046045,reject_I1,FALSE,NO,ok || ok
Q3_raw__post_fordism__none,Q3_raw,Q3,3,raw,post_fordism,none,1,50,-2.9800281275664413,0.40590000000099996,36.23434530716803,0.007800000001,8.8737131412024155,0.451000000001,-0.695532635590444,0.8926000000009999,11.510560000586414,0.0369,13.330369333112593,0.1539,FALSE,1,"(1,1,1,1,1)",2.685694618845491,between,-0.2987585858792319,reject_I1,FALSE,NO,ok || ok
