spec_id,run_tag,spec,degree,basis,window,det,lags_gate,n_obs,stat_EG,p_EG,stat_JOH,p_JOH,stat_BOS,p_BOS,stat_BAN,p_BAN,bh_stat_ej,p_BH_ej,bh_stat_all,p_BH_all,gate1_pass,ardl_case,ardl_order,F_stat,F_decision,t_stat,t_decision,gate2_pass,stage3_admissible,notes
Q2_ortho__full__const,Q2_ortho,Q2,2,ortho,full,const,1,99,-2.786315328735441,0.515400000001,34.111405795614615,0.006100000001000001,6.0863698517081115,0.718700000001,-2.1226894441066886,0.568600000001,11.524556976801739,0.0391,13.314335645341393,0.1587,FALSE,3,"(1,1,1,1)",1.002353341899519,fail_I0,-0.18431393225736029,reject_I1,FALSE,NO,ok || ok
Q2_ortho__full__none,Q2_ortho,Q2,2,ortho,full,none,1,99,-2.451960214563472,0.489200000001,34.63274260375433,0.0012000000009999999,4.365608615486449,0.722700000001,-1.9222734536990167,0.436900000001,14.88083519304385,0.0145,17.186459240472402,0.0804,FALSE,1,"(1,1,1,1)",0.8273722259454735,fail_I0,0.41894523629341307,reject_I1,FALSE,NO,ok || ok
Q2_ortho__fordism__const,Q2_ortho,Q2,2,ortho,fordism,const,1,49,-2.8919596917362593,0.458200000001,41.932130746637675,4.00000001e-4,14.15873487534973,0.122000000001,-2.835362611771762,0.27130000000099996,17.2089910346337,0.0076,24.025519621742202,0.0291,TRUE,3,"(1,1,1,1)",8.604054505078096,reject_I1,-2.0923029437978538,reject_I1,TRUE,YES,ok || ok
Q2_ortho__fordism__none,Q2_ortho,Q2,2,ortho,fordism,none,1,49,-2.825805134849896,0.298200000001,31.689688595759357,0.003800000001,9.371372529249568,0.235500000001,-1.9847330598583086,0.412300000001,13.565490177269568,0.0212,18.22958698684612,0.0669,FALSE,1,"(1,1,1,1)",11.812865036004446,reject_I1,-2.06987325499039,between,TRUE,NO,ok || ok
Q2_ortho__post_fordism__const,Q2_ortho,Q2,2,ortho,post_fordism,const,1,50,-2.3091025732358443,0.7535000000009999,24.54605479218324,0.116600000001,20.275887865812212,0.017500000001,-1.1528479332784907,0.8775000000009999,4.864064531942858,0.2906,13.216529975215861,0.1613,FALSE,3,"(1,1,1,1)",2.4067204664296535,fail_I0,-0.8245391772518442,reject_I1,FALSE,NO,ok || ok
Q2_ortho__post_fordism__none,Q2_ortho,Q2,2,ortho,post_fordism,none,1,50,-2.793209951262741,0.313800000001,23.06194460839228,0.066700000001,3.7895665787523862,0.785200000001,-1.1278052183396363,0.725000000001,7.733099529451168,0.1206,8.85990041086045,0.3344,FALSE,1,"(1,1,1,1)",2.523503779897233,between,-0.6950914996221991,reject_I1,FALSE,NO,ok || ok
Q2_raw__full__const,Q2_raw,Q2,2,raw,full,const,1,99,-2.786315328735428,0.515400000001,34.111405795552926,0.006100000001000001,6.086369851709639,0.718700000001,-2.1226894441066833,0.568600000001,11.524556976801739,0.0391,13.314335645341393,0.1587,FALSE,3,"(1,1,1,1)",1.0023533418993473,fail_I0,-0.18431393225736267,reject_I1,FALSE,NO,ok || ok
Q2_raw__full__none,Q2_raw,Q2,2,raw,full,none,1,99,-2.4519602145634685,0.489200000001,34.63274260370928,0.0012000000009999999,4.365608615478088,0.722700000001,-1.922273453699006,0.436900000001,14.88083519304385,0.0145,17.186459240472402,0.0804,FALSE,1,"(1,1,1,1)",0.8273722259416543,fail_I0,0.4189452362934136,reject_I1,FALSE,NO,ok || ok
Q2_raw__fordism__const,Q2_raw,Q2,2,raw,fordism,const,1,49,-2.891959691736259,0.458200000001,41.932130746620366,4.00000001e-4,14.158734875362747,0.122000000001,-2.835362611771769,0.27130000000099996,17.2089910346337,0.0076,24.025519621742202,0.0291,TRUE,3,"(1,1,1,1)",8.604054505077874,reject_I1,-2.0923029437978564,reject_I1,TRUE,YES,ok || ok
Q2_raw__fordism__none,Q2_raw,Q2,2,raw,fordism,none,1,49,-2.825805134849891,0.298200000001,31.689688595803915,0.003800000001,9.371372529251886,0.235500000001,-1.9847330598583153,0.412300000001,13.565490177269568,0.0212,18.22958698684612,0.0669,FALSE,1,"(1,1,1,1)",11.81286503599705,reject_I1,-2.0698732549903944,between,TRUE,NO,ok || ok
