"year","ECT"
1925,57.5871682412791
1926,58.7142862606252
1927,60.2476295488301
1928,61.3606090755941
1929,61.8838607497608
1930,60.9573235082057
1931,56.7862729251881
1932,53.8301622420182
1933,53.6069575736542
1934,54.0397914109551
1935,53.7234033822261
1936,55.5494397879364
1937,56.8186590575867
1938,56.1488296045
1939,56.6465118453392
1940,58.0929278487515
1941,61.0241008621461
1942,62.721675523179
1943,62.9573507292872
1944,62.7250613102661
1945,63.6469799421235
1946,69.3849573859356
1947,75.4064441477631
1948,79.8115676419897
1949,80.9052070969357
1950,86.6423284838455
1951,90.7001513010543
1952,93.3906868845789
1953,95.6540336742381
1954,97.0154175353448
1955,101.527463078748
1956,106.098823627128
1957,109.12157939891
1958,110.141011524096
1959,112.199809422801
1960,113.037344879719
1961,114.16907486759
1962,115.573307432559
1963,116.939089397955
1964,119.115433039582
1965,121.635814677503
1966,124.693822874406
1967,127.794290150248
1968,131.659508830854
1969,135.500731237288
1970,139.431224045121
1971,143.432215100289
1972,146.85015118328
1973,151.918423232153
