"variable_id","source_variable_id","asset_scope","transformation_family","exact_formula","lag_order","unit","year_start","year_end","observation_count","first_fully_supported_year","support_rule","positivity_requirement","construction_status","authorization_source"
"CFC_RATE_N_ME","CFC_ME_GPIM_2017","ME","cfc_rate_diagnostic","CFC_ME_GPIM_2017 / lag1(N_ME_GPIM_2017)",0,"decimal_rate",1902,2024,123,1926,"fully_supported iff current numerator and lagged denominator are fully_supported","positive_lagged_denominator","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"CFC_RATE_N_NRC","CFC_NRC_GPIM_2017","NRC","cfc_rate_diagnostic","CFC_NRC_GPIM_2017 / lag1(N_NRC_GPIM_2017)",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff current numerator and lagged denominator are fully_supported","positive_lagged_denominator","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"CFC_RATE_N_TOT","CFC_TOT_GPIM_2017","TOT","cfc_rate_diagnostic","CFC_TOT_GPIM_2017 / lag1(N_TOT_GPIM_2017)",0,"decimal_rate",1902,2024,123,1932,"fully_supported iff current numerator and lagged denominator are fully_supported","positive_lagged_denominator","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"CFC_TOT_GPIM_2017","CFC_CORE_GPIM_2017","TOT","tot_alias","CFC_TOT_GPIM_2017 = CFC_CORE_GPIM_2017",0,"millions_2017_dollars",1901,2024,124,1931,"S29E support status inherited exactly","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_G_ME","G_ME_GPIM_2017","ME","first_difference","DELTA_G_ME = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_G_NRC","G_NRC_GPIM_2017","NRC","first_difference","DELTA_G_NRC = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_G_TOT","G_TOT_GPIM_2017","TOT","first_difference","DELTA_G_TOT = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_I_ME","I_ME_REAL_2017","ME","first_difference","DELTA_I_ME = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1926,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_I_NRC","I_NRC_REAL_2017","NRC","first_difference","DELTA_I_NRC = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
"DELTA_I_TOT","I_TOT_REAL_2017","TOT","first_difference","DELTA_I_TOT = X_t - X_t_minus_1",0,"millions_2017_dollars",1902,2024,123,1932,"fully_supported iff source t and t-1 are fully_supported","not_required","constructed","AUTHORIZE_S29F_CORE_CAPITAL_ANALYTICAL_TRANSFORMATIONS"
