"stage_id","transformation_family","units","variable_count","unit_status"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","arithmetic_growth","decimal_rate",9,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","arithmetic_log_growth_gap","decimal_rate_gap",9,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","cfc_rate_diagnostic","decimal_rate",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","first_difference","millions_2017_dollars",9,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","gross_composition_share","share",2,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","gross_stock_flow_net_change","millions_2017_dollars",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","investment_composition_share","share",2,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","investment_rate_diagnostic","decimal_rate",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","lag1","log_difference; natural_log",12,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","level_alias","millions_2017_dollars",6,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_gross","natural_log",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_growth","log_difference",9,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_investment","natural_log",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","log_net","natural_log",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","net_composition_share","share",2,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","net_stock_flow_net_change","millions_2017_dollars",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","retirement_rate_diagnostic","decimal_rate",3,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","source_preserved","millions_2017_dollars",10,"PASS"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","tot_alias","millions_2017_dollars",5,"PASS"
