"year","ECT","series"
1947,1.51691162615759,"p=6"
1948,1.55390445597949,"p=6"
1949,1.50022374772054,"p=6"
1950,1.51932723997952,"p=6"
1951,1.5608661606947,"p=6"
1952,1.5432719226768,"p=6"
1953,1.55556228235912,"p=6"
1954,1.50520684193046,"p=6"
1955,1.53742617356893,"p=6"
1956,1.50809108794162,"p=6"
1957,1.4820780369116,"p=6"
1958,1.43013245309624,"p=6"
1959,1.49722381170333,"p=6"
1960,1.51211980012204,"p=6"
1961,1.50861661307653,"p=6"
1962,1.55850404501957,"p=6"
1963,1.58514187878429,"p=6"
1964,1.61031315978546,"p=6"
1965,1.64275047163755,"p=6"
1966,1.65887370301674,"p=6"
1967,1.63839802538749,"p=6"
1968,1.6510938455525,"p=6"
1969,1.64507335953991,"p=6"
1970,1.58946222774346,"p=6"
1971,1.57635021852587,"p=6"
1972,1.60088018597893,"p=6"
1973,1.60555311412399,"p=6"
1974,1.50526885499874,"p=6"
1975,1.47366045070308,"p=6"
1976,1.50046696172622,"p=6"
1977,1.52092333130045,"p=6"
1978,1.53599365736752,"p=6"
1979,1.51270165543175,"p=6"
1980,1.46124938207419,"p=6"
1981,1.46498885431332,"p=6"
1982,1.4372368024843,"p=6"
1983,1.46980952028394,"p=6"
1984,1.52756094754789,"p=6"
1985,1.54116761620585,"p=6"
1986,1.54106736196885,"p=6"
1987,1.56155302460159,"p=6"
1988,1.58483647205949,"p=6"
1989,1.58040018147613,"p=6"
1990,1.57097453699438,"p=6"
1991,1.56713463369678,"p=6"
1992,1.57579112230432,"p=6"
1993,1.57674809611614,"p=6"
1994,1.59861330171219,"p=6"
1995,1.61236708661918,"p=6"
1996,1.62482008459894,"p=6"
1997,1.64793437472073,"p=6"
1998,1.6593694804171,"p=6"
1999,1.67405956617793,"p=6"
2000,1.68353206565337,"p=6"
2001,1.63943750875857,"p=6"
2002,1.61523592773595,"p=6"
2003,1.61729979603691,"p=6"
2004,1.6152914018836,"p=6"
2005,1.61420932223139,"p=6"
2006,1.60726311192005,"p=6"
2007,1.57969966541839,"p=6"
2008,1.5098877350054,"p=6"
2009,1.49837405877372,"p=6"
2010,1.52634262082958,"p=6"
2011,1.53907358654454,"p=6"
