"year","spec_id","window_id","estimator","residual","standardized_residual","studentized_residual","mad_score","cook_distance","leverage","outlier_flag_residual","outlier_flag_influence","outlier_flag_consensus","recurs_across_estimators","recurs_across_specs","recurs_across_windows","outlier_priority","historical_prior_used"
1929,"SPEC_B1_WAGE_BASELINE","full_long_sample","FM_OLS",,,2.58371412658663,,0.125624882770684,0.0565157374204985,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","full_long_sample","DOLS",,,2.58371412658663,,0.125624882770684,0.0565157374204985,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","full_long_sample","IM_OLS",,,2.58371412658663,,0.125624882770684,0.0565157374204985,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","pre_1974","FM_OLS",,,3.13071007458809,,0.292721486511976,0.0977756322206395,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","pre_1974","IM_OLS",,,3.13071007458809,,0.292721486511976,0.0977756322206395,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","pre_1974","DOLS",,,3.13071007458809,,0.292721486511976,0.0977756322206395,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","roll_fordist_1929_1953","FM_OLS",,,3.25793351075567,,0.602456770373351,0.196588939984277,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","roll_fordist_1929_1953","DOLS",,,3.25793351075567,,0.602456770373351,0.196588939984277,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","roll_fordist_1929_1953","IM_OLS",,,3.25793351075567,,0.602456770373351,0.196588939984277,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","roll_fordist_1929_1954","FM_OLS",,,3.23001324211766,,0.55961105254938,0.184945814385885,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","roll_fordist_1929_1954","IM_OLS",,,3.23001324211766,,0.55961105254938,0.184945814385885,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
1929,"SPEC_B1_WAGE_BASELINE","roll_fordist_1929_1954","DOLS",,,3.23001324211766,,0.55961105254938,0.184945814385885,FALSE,TRUE,FALSE,0,0,0,"low",FALSE
