"dummy_id","year","dummy_type","identification_basis","identified_by_specs","identified_by_estimators","identified_by_windows","priority","historical_prior_used","recommended_for_future_control_test","notes","n_identified_specs","n_identified_estimators","n_identified_windows","strict_high_recurrence"
"D_pulse_1930",1930,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","FM_OLS | IM_OLS","full_long_sample | roll_fordist_1929_1955","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,2,2,FALSE
"D_pulse_1931",1931,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","IM_OLS","full_long_sample","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,1,1,FALSE
"D_pulse_1932",1932,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | FM_OLS | IM_OLS","full_long_sample","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,3,1,FALSE
"D_pulse_1933",1933,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | FM_OLS | IM_OLS","full_long_sample | pre_1974 | roll_fordist_1929_1973","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,3,3,TRUE
"D_pulse_1934",1934,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | FM_OLS | IM_OLS","full_long_sample | pre_1974 | roll_fordist_1929_1960 | roll_fordist_1929_1961 | roll_fordist_1929_1962 | roll_fordist_1929_1963 | roll_fordist_1929_1964 | roll_fordist_1929_1965 | roll_fordist_1929_1966 | roll_fordist_1929_1967 | roll_fordist_1929_1968 | roll_fordist_1929_1973","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,3,12,TRUE
"D_pulse_1935",1935,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | IM_OLS","full_long_sample","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,2,1,FALSE
"D_pulse_1936",1936,"pulse","endogenous_outlier_screen","SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | IM_OLS","full_long_sample","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",1,2,1,FALSE
"D_pulse_1937",1937,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | IM_OLS","full_long_sample","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,2,1,FALSE
"D_pulse_1938",1938,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | FM_OLS | IM_OLS","full_long_sample | roll_fordist_1929_1969 | roll_fordist_1929_1972","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,3,3,TRUE
"D_pulse_1941",1941,"pulse","endogenous_outlier_screen","SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","FM_OLS | IM_OLS","bridge_1940_1978 | pre_1974_alt_1940_1973","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",1,2,2,FALSE
"D_pulse_1942",1942,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | FM_OLS","full_long_sample","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,2,1,FALSE
"D_pulse_1943",1943,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | FM_OLS | IM_OLS","bridge_1940_1978 | full_long_sample | pre_1974 | pre_1974_alt_1940_1973 | roll_fordist_1929_1958 | roll_fordist_1929_1959 | roll_fordist_1929_1960 | roll_fordist_1929_1961 | roll_fordist_1929_1962 | roll_fordist_1929_1963 | roll_fordist_1929_1964 | roll_fordist_1929_1965 | roll_fordist_1929_1966 | roll_fordist_1929_1967 | roll_fordist_1929_1968 | roll_fordist_1929_1969 | roll_fordist_1929_1970 | roll_fordist_1929_1971 | roll_fordist_1929_1972 | roll_fordist_1929_1973","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,3,20,TRUE
"D_pulse_1944",1944,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","DOLS | FM_OLS | IM_OLS","bridge_1940_1978 | full_long_sample | pre_1974 | pre_1974_alt_1940_1973 | roll_fordist_1929_1960 | roll_fordist_1929_1961 | roll_fordist_1929_1962 | roll_fordist_1929_1963 | roll_fordist_1929_1964 | roll_fordist_1929_1965 | roll_fordist_1929_1966 | roll_fordist_1929_1967 | roll_fordist_1929_1968 | roll_fordist_1929_1969 | roll_fordist_1929_1970 | roll_fordist_1929_1971 | roll_fordist_1929_1972 | roll_fordist_1929_1973","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,3,18,TRUE
"D_pulse_1945",1945,"pulse","endogenous_outlier_screen","SPEC_B1_WAGE_BASELINE | SPEC_E2B_NRC_ENVELOPE_DISTRIBUTIVE_MECHANIZATION_RESTRICTED","FM_OLS | IM_OLS","full_long_sample | pre_1974 | roll_fordist_1929_1963 | roll_fordist_1929_1964 | roll_fordist_1929_1965 | roll_fordist_1929_1966 | roll_fordist_1929_1967 | roll_fordist_1929_1968 | roll_fordist_1929_1969 | roll_fordist_1929_1970 | roll_fordist_1929_1971 | roll_fordist_1929_1972 | roll_fordist_1929_1973","high",FALSE,TRUE,"candidate only; not imposed in S32 preferred estimation",2,2,13,TRUE
