"period_family","window_id","window_start","window_end","window_length","endpoint_type","included_in_main_review","reason_included_or_excluded"
"bridge_or_full_cross_partition","full_long_sample",1929,2024,96,"locked_main_review",TRUE,"existing S31 governed main-review window"
"Fordist_pre_1974","pre_1974",1929,1973,45,"locked_main_review",TRUE,"existing S31 governed main-review window"
"post_Fordist_post_1973","post_1973",1974,2024,51,"locked_main_review",TRUE,"existing S31 governed main-review window"
"Fordist_pre_1974","fordist_core",1945,1973,29,"locked_main_review",TRUE,"existing S31 governed main-review window"
"bridge_or_full_cross_partition","bridge_1940_1978",1940,1978,39,"locked_main_review",TRUE,"existing S31 governed main-review window"
"Fordist_pre_1974","pre_1974_alt_1940_1973",1940,1973,34,"locked_main_review",TRUE,"existing S31 governed main-review window"
"bridge_or_full_cross_partition","pre_1974_alt_1947_1974",1947,1974,28,"locked_main_review",TRUE,"existing S31 governed main-review window"
"Fordist_pre_1974","roll_fordist_1929_1953",1929,1953,25,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1954",1929,1954,26,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1955",1929,1955,27,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1956",1929,1956,28,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1957",1929,1957,29,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1958",1929,1958,30,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1959",1929,1959,31,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1960",1929,1960,32,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1961",1929,1961,33,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1962",1929,1962,34,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1963",1929,1963,35,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1964",1929,1964,36,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1965",1929,1965,37,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1966",1929,1966,38,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1967",1929,1967,39,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1968",1929,1968,40,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1969",1929,1969,41,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1970",1929,1970,42,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1971",1929,1971,43,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1972",1929,1972,44,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"Fordist_pre_1974","roll_fordist_1929_1973",1929,1973,45,"rolling_endpoint",FALSE,"rolling Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_1998",1974,1998,25,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_1999",1974,1999,26,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2000",1974,2000,27,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2001",1974,2001,28,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2002",1974,2002,29,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2003",1974,2003,30,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2004",1974,2004,31,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2005",1974,2005,32,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2006",1974,2006,33,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2007",1974,2007,34,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2008",1974,2008,35,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2009",1974,2009,36,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2010",1974,2010,37,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2011",1974,2011,38,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2012",1974,2012,39,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2013",1974,2013,40,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2014",1974,2014,41,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2015",1974,2015,42,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2016",1974,2016,43,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2017",1974,2017,44,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2018",1974,2018,45,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2019",1974,2019,46,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2020",1974,2020,47,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2021",1974,2021,48,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2022",1974,2022,49,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2023",1974,2023,50,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
"post_Fordist_post_1973","roll_post_1974_2024",1974,2024,51,"rolling_endpoint",FALSE,"rolling post-Fordist endpoint exercise; 1974 partition fixed"
