"run_tag","variable_id","variable_label","window_id","window_start","window_end","n_obs","original_classification","original_confidence","original_s32_implication","is_i2_risk","level_primary_read","level_sensitivity_read","diff_adf_primary_stat","diff_adf_primary_p_or_cv_read","diff_adf_primary_reject_5pct","diff_pp_primary_stat","diff_pp_primary_p_or_cv_read","diff_pp_primary_reject_5pct","diff_kpss_primary_stat","diff_kpss_primary_p_or_cv_read","diff_kpss_primary_reject_5pct","diff_tests_support_stationarity","diff_tests_support_unit_root","failed_tests_count","skipped_tests_count","unsupported_spec_count","deterministic_sensitivity","short_window_flag","audit_read","recommended_interpretation","notes"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","y_t","log real output","full_long_sample",1929,2024,96,"I1_preferred","high","compatible_with_S32",FALSE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-6.80091697313012,"reject_unit_root_5pct",TRUE,-6.51011551772473,"reject_unit_root_5pct",TRUE,0.113432259535351,"fail_to_reject_stationarity_5pct",FALSE,3,0,3,0,3,FALSE,FALSE,"not_I2_risk","No I2-specific action; retain original non-I2 caveat if any.","corrected_class_excluding_failed_rows=I1_preferred"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","k_t","log aggregate capital","full_long_sample",1929,2024,96,"I2_risk","low","not_compatible_without_redesign",TRUE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","reject_unit_root_5pct | reject_stationarity_5pct",-4.30276928454564,"reject_unit_root_5pct",TRUE,-7.4619833816515,"reject_unit_root_5pct",TRUE,1.74606890288947,"reject_stationarity_5pct",TRUE,2,1,3,0,3,FALSE,FALSE,"mixed_test_evidence","Hold for review because ADF/PP/KPSS evidence conflicts.","corrected_class_excluding_failed_rows=I2_risk"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","omega_t","profit-share distribution condition","full_long_sample",1929,2024,96,"deterministic_sensitive","low","compatible_but_document_mixed_order",FALSE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","reject_unit_root_5pct | fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-7.94860327923116,"reject_unit_root_5pct",TRUE,-7.50756745909208,"reject_unit_root_5pct",TRUE,0.0739425460910149,"fail_to_reject_stationarity_5pct",FALSE,3,0,3,0,3,TRUE,FALSE,"not_I2_risk","No I2-specific action; retain original non-I2 caveat if any.","corrected_class_excluding_failed_rows=deterministic_sensitive"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","omega_k_t","omega_t multiplied by k_t","full_long_sample",1929,2024,96,"break_sensitive","low","compatible_but_document_mixed_order",FALSE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-7.73850247325775,"reject_unit_root_5pct",TRUE,-7.43600671065463,"reject_unit_root_5pct",TRUE,0.159908142983805,"fail_to_reject_stationarity_5pct",FALSE,3,0,3,0,3,FALSE,FALSE,"not_I2_risk","No I2-specific action; retain original non-I2 caveat if any.","corrected_class_excluding_failed_rows=I1_preferred"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","k_NRC_t","log real NRC capital envelope","full_long_sample",1929,2024,96,"I2_risk","low","not_compatible_without_redesign",TRUE,"reject_unit_root_5pct | fail_to_reject_unit_root_5pct | reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-2.46848059685136,"fail_to_reject_unit_root_5pct",FALSE,-2.20789246664916,"fail_to_reject_unit_root_5pct",FALSE,0.469259162884847,"reject_stationarity_5pct",TRUE,0,3,3,0,3,FALSE,FALSE,"genuine_I2_risk","Treat as substantive I2-risk until redesigned or externally adjudicated.","corrected_class_excluding_failed_rows=I2_risk"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","k_ME_t","log real ME capital","full_long_sample",1929,2024,96,"I1_preferred","high","compatible_with_S32",FALSE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-3.65209856124093,"reject_unit_root_5pct",TRUE,-3.20822392727454,"reject_unit_root_5pct",TRUE,0.445027538394863,"fail_to_reject_stationarity_5pct",FALSE,3,0,3,0,3,FALSE,FALSE,"not_I2_risk","No I2-specific action; retain original non-I2 caveat if any.","corrected_class_excluding_failed_rows=I1_preferred"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","m_ME_NRC_t","ME/NRC mechanization log gap","full_long_sample",1929,2024,96,"I2_risk","low","not_compatible_without_redesign",TRUE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-2.87473798907081,"fail_to_reject_unit_root_5pct",FALSE,-2.71871839236771,"fail_to_reject_unit_root_5pct",FALSE,0.527046978172159,"reject_stationarity_5pct",TRUE,0,3,3,0,3,FALSE,FALSE,"genuine_I2_risk","Treat as substantive I2-risk until redesigned or externally adjudicated.","corrected_class_excluding_failed_rows=I2_risk"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","omega_m_ME_NRC_t","omega_t multiplied by ME/NRC mechanization gap","full_long_sample",1929,2024,96,"I1_preferred","high","compatible_with_S32",FALSE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-6.61942619321574,"reject_unit_root_5pct",TRUE,-6.55482771664732,"reject_unit_root_5pct",TRUE,0.151021288014841,"fail_to_reject_stationarity_5pct",FALSE,3,0,3,0,3,FALSE,FALSE,"not_I2_risk","No I2-specific action; retain original non-I2 caveat if any.","corrected_class_excluding_failed_rows=I1_preferred"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","pK_relative_ME_NRC","ME/NRC relative investment price","full_long_sample",1929,2024,96,"I1_preferred","high","compatible_with_S32",FALSE,"fail_to_reject_unit_root_5pct | reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-7.25498001680761,"reject_unit_root_5pct",TRUE,-5.92442280447338,"reject_unit_root_5pct",TRUE,0.0613792740185705,"fail_to_reject_stationarity_5pct",FALSE,3,0,3,0,3,FALSE,FALSE,"not_I2_risk","No I2-specific action; retain original non-I2 caveat if any.","corrected_class_excluding_failed_rows=I1_preferred"
"S31I_I2_RISK_AND_ROLLING_AUDIT_B1_E2B","y_t","log real output","pre_1974",1929,1973,45,"deterministic_sensitive","low","compatible_but_document_mixed_order",FALSE,"reject_unit_root_5pct | fail_to_reject_unit_root_5pct | fail_to_reject_stationarity_5pct","fail_to_reject_unit_root_5pct | reject_stationarity_5pct",-4.60234304545464,"reject_unit_root_5pct",TRUE,-4.17382237887094,"reject_unit_root_5pct",TRUE,0.0861799505927521,"fail_to_reject_stationarity_5pct",FALSE,3,0,3,0,3,TRUE,FALSE,"not_I2_risk","No I2-specific action; retain original non-I2 caveat if any.","corrected_class_excluding_failed_rows=deterministic_sensitive"
