"run_tag","variable_id","variable_label","window_id","window_start","window_end","n_obs","level_adf_read","level_pp_read","level_kpss_read","diff_adf_read","diff_pp_read","diff_kpss_read","deterministic_sensitivity","break_sensitivity","classification","confidence","s32_implication","human_review_flag","notes"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","y_t","log real output","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_t","log aggregate capital","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_t","profit-share distribution condition","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",TRUE,TRUE,"deterministic_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=ambiguous_hold ; Zivot-Andrews one-break diagnostic rejects unit-root null at 10pct"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_k_t","omega_t multiplied by k_t","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,TRUE,"break_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred ; Zivot-Andrews one-break diagnostic rejects unit-root null at 10pct"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_NRC_t","log real NRC capital envelope","full_long_sample",1929,2024,96,"reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_ME_t","log real ME capital","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","m_ME_NRC_t","ME/NRC mechanization log gap","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_m_ME_NRC_t","omega_t multiplied by ME/NRC mechanization gap","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","pK_relative_ME_NRC","ME/NRC relative investment price","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t","direct composition share","full_long_sample",1929,2024,0,"not_tested","not_tested","not_tested","not_tested","not_tested","not_tested",FALSE,FALSE,"insufficient_observations","low","insufficient_evidence",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=test_failed"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t","direct composition investment share","full_long_sample",1929,2024,0,"not_tested","not_tested","not_tested","not_tested","not_tested","not_tested",FALSE,FALSE,"insufficient_observations","low","insufficient_evidence",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=test_failed"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy","ME/NRC composition-share proxy","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy","ME/NRC investment-composition proxy","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy_cc","ME/NRC current-cost composition-share proxy","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,TRUE,"break_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred ; Zivot-Andrews one-break diagnostic rejects unit-root null at 10pct"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy_cc","ME/NRC current-cost investment-composition proxy","full_long_sample",1929,2024,96,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",TRUE,TRUE,"deterministic_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=ambiguous_hold ; Zivot-Andrews one-break diagnostic rejects unit-root null at 10pct"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","y_t","log real output","pre_1974",1929,1973,45,"reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",TRUE,FALSE,"deterministic_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_t","log aggregate capital","pre_1974",1929,1973,45,"reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",TRUE,FALSE,"deterministic_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_t","profit-share distribution condition","pre_1974",1929,1973,45,"reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I0_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I0_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_k_t","omega_t multiplied by k_t","pre_1974",1929,1973,45,"reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",TRUE,FALSE,"deterministic_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred ; constructed interaction needs human review before coefficient interpretation"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_NRC_t","log real NRC capital envelope","pre_1974",1929,1973,45,"reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_ME_t","log real ME capital","pre_1974",1929,1973,45,"reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct","reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct",TRUE,FALSE,"deterministic_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","m_ME_NRC_t","ME/NRC mechanization log gap","pre_1974",1929,1973,45,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_m_ME_NRC_t","omega_t multiplied by ME/NRC mechanization gap","pre_1974",1929,1973,45,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,TRUE,"break_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred ; Zivot-Andrews one-break diagnostic rejects unit-root null at 10pct"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","pK_relative_ME_NRC","ME/NRC relative investment price","pre_1974",1929,1973,45,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t","direct composition share","pre_1974",1929,1973,0,"not_tested","not_tested","not_tested","not_tested","not_tested","not_tested",FALSE,FALSE,"insufficient_observations","low","insufficient_evidence",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=test_failed"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t","direct composition investment share","pre_1974",1929,1973,0,"not_tested","not_tested","not_tested","not_tested","not_tested","not_tested",FALSE,FALSE,"insufficient_observations","low","insufficient_evidence",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=test_failed"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy","ME/NRC composition-share proxy","pre_1974",1929,1973,45,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy","ME/NRC investment-composition proxy","pre_1974",1929,1973,45,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",TRUE,FALSE,"deterministic_sensitive","low","compatible_but_document_mixed_order",TRUE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy_cc","ME/NRC current-cost composition-share proxy","pre_1974",1929,1973,45,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy_cc","ME/NRC current-cost investment-composition proxy","pre_1974",1929,1973,45,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","y_t","log real output","post_1973",1974,2024,51,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_t","log aggregate capital","post_1973",1974,2024,51,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_t","profit-share distribution condition","post_1973",1974,2024,51,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift ; sensitivity_classification=I1_preferred ; omega_t I(1) makes B1 interaction interpretation more fragile"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_k_t","omega_t multiplied by k_t","post_1973",1974,2024,51,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","reject_unit_root_5pct","reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I1_preferred","high","compatible_with_S32",FALSE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I1_preferred"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_NRC_t","log real NRC capital envelope","post_1973",1974,2024,51,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I2_risk"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_ME_t","log real ME capital","post_1973",1974,2024,51,"fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","reject_stationarity_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_unit_root_5pct","fail_to_reject_stationarity_5pct",FALSE,FALSE,"I2_risk","low","not_compatible_without_redesign",TRUE,"primary_deterministic_spec=drift_trend ; sensitivity_classification=I2_risk"
