"year","d01_K_core_ME_NRC_gross_surviving_2017_dollars_millions","d01_core_stock_index_1947_100","chapter2_frozen_G_TOT_GPIM_2017_value","chapter2_frozen_G_TOT_GPIM_2017_index_1947_100","shaikh_asset_ME_NRC_gross_real_value","shaikh_asset_ME_NRC_gross_real_index_1947_100","shaikh_aggregate_weibull_KGR_NF_corp_value","shaikh_aggregate_weibull_KGR_NF_corp_index_1947_100","shaikh_canonical_KGCcorp_real_value","shaikh_canonical_KGCcorp_real_index_1947_100","comparison_scope_note"
1901,1723395.05606458,2.51901575852798,1723395.05606458,3.19364446633026,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1902,3854821.04896235,5.63443357602253,3854821.04896234,7.1434160544851,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1903,6228524.7016034,9.10397869629945,6228524.7016034,11.5421553384865,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1904,8359013.02277446,12.2180259575495,8359013.02277446,15.490189315691,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1905,10538642.875429,15.4039013766959,10538642.875429,19.5292880661968,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1906,13079634.7187179,19.1179647732524,13079634.7187179,24.2380311432721,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1907,15872002.5081499,23.1994540640756,15872002.5081499,29.4126020620506,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1908,17972072.932577,26.2690407351842,17972072.932577,33.3042682625971,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1909,20395941.2939214,29.811909549469,20395941.2939213,37.7959683821257,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1910,23264146.1983352,34.0042468359669,23264146.1983352,43.1110739866409,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1911,25813047.1275128,37.7298706184715,25813047.1275128,47.8344734875544,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1912,28560396.8780332,41.7455588911025,28560396.8780332,52.9256209275726,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1913,31403652.3971646,45.9014286860227,31403652.3971646,58.1944925209333,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1914,33397595.2902495,48.8158931041552,33397595.2902495,61.8894924945438,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1915,34990141.0386579,51.1436518048087,34990141.0386579,64.8406585077482,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1916,37522619.6047356,54.8452716937804,37361114.1547218,69.2343378010069,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1917,40904323.5317628,59.7881694077321,40577394.2171122,75.194465739912,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1918,44782781.2735358,65.4571517666702,44282943.5286081,82.0612645111679,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1919,48917214.8924601,71.5002835500701,48291948.4497102,89.4904005857515,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1920,54681756.4832429,79.9260771931312,53904220.1556968,99.890569957419,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1921,58213798.8849874,85.0887184798599,57234320.0372052,106.061618795862,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
1922,61895082.3161901,90.4694992487124,60695179.5935332,112.474979987725,NA,NA,NA,NA,NA,NA,"D01 repairs Chapter 2 gross survival for ME+NRC only. Frozen and Shaikh diagnostic series retain their original boundaries."
