"asset_family","asset_label","metadata_only","age","mean_life_years","weibull_alpha","weibull_lambda","survival_probability","retirement_mass_from_prior_age"
"ME","Machinery and Equipment",FALSE,0,14,1.7,15.6907663323043,1,NA
"ME","Machinery and Equipment",FALSE,1,14,1.7,15.6907663323043,0.99076595405336,0.00923404594664012
"ME","Machinery and Equipment",FALSE,2,14,1.7,15.6907663323043,0.970308826720946,0.0204571273324141
"ME","Machinery and Equipment",FALSE,3,14,1.7,15.6907663323043,0.941717699414559,0.0285911273063867
"ME","Machinery and Equipment",FALSE,4,14,1.7,15.6907663323043,0.906714177266113,0.0350035221484456
"ME","Machinery and Equipment",FALSE,5,14,1.7,15.6907663323043,0.866663311230716,0.0400508660353978
"ME","Machinery and Equipment",FALSE,6,14,1.7,15.6907663323043,0.822750607199423,0.0439127040312932
"ME","Machinery and Equipment",FALSE,7,14,1.7,15.6907663323043,0.776037321964001,0.0467132852354218
"ME","Machinery and Equipment",FALSE,8,14,1.7,15.6907663323043,0.727479806458291,0.0485575155057099
"ME","Machinery and Equipment",FALSE,9,14,1.7,15.6907663323043,0.677936005551958,0.0495438009063325
"ME","Machinery and Equipment",FALSE,10,14,1.7,15.6907663323043,0.628167397348983,0.0497686082029758
"ME","Machinery and Equipment",FALSE,11,14,1.7,15.6907663323043,0.578839818366246,0.0493275789827368
"ME","Machinery and Equipment",FALSE,12,14,1.7,15.6907663323043,0.530524698117408,0.0483151202488373
"ME","Machinery and Equipment",FALSE,13,14,1.7,15.6907663323043,0.483701349015373,0.0468233491020356
"ME","Machinery and Equipment",FALSE,14,14,1.7,15.6907663323043,0.438760516241415,0.0449408327739579
"ME","Machinery and Equipment",FALSE,15,14,1.7,15.6907663323043,0.396009157062602,0.042751359178813
"ME","Machinery and Equipment",FALSE,16,14,1.7,15.6907663323043,0.355676292152994,0.0403328649096079
"ME","Machinery and Equipment",FALSE,17,14,1.7,15.6907663323043,0.31791970674458,0.0377565854084145
"ME","Machinery and Equipment",FALSE,18,14,1.7,15.6907663323043,0.282833253028497,0.0350864537160827
"ME","Machinery and Equipment",FALSE,19,14,1.7,15.6907663323043,0.250454503511342,0.032378749517155
"ME","Machinery and Equipment",FALSE,20,14,1.7,15.6907663323043,0.220772519455823,0.0296819840555191
"ME","Machinery and Equipment",FALSE,21,14,1.7,15.6907663323043,0.193735523284742,0.0270369961710805
"ME","Machinery and Equipment",FALSE,22,14,1.7,15.6907663323043,0.169258294700095,0.0244772285846474
"ME","Machinery and Equipment",FALSE,23,14,1.7,15.6907663323043,0.147229144117609,0.0220291505824858
"ME","Machinery and Equipment",FALSE,24,14,1.7,15.6907663323043,0.127516351456454,0.0197127926611546
