"year","asset_family","asset_label","real_investment_2017_dollars_millions","mean_life_years","weibull_alpha","weibull_lambda","gross_surviving_stock_2017_dollars_millions","stock_index_1947_100","stock_index_first_valid_100"
1901,"ME","Machinery and Equipment",407832.614810652,14,1.7,15.6907663323043,407832.614810652,3.2028307263312,100
1902,"ME","Machinery and Equipment",459264.436571853,14,1.7,15.6907663323043,863331.106278805,6.77999574769429,211.687607838728
1903,"ME","Machinery and Equipment",522286.528025719,14,1.7,15.6907663323043,1373033.68166407,10.7828415487639,336.665983004213
1904,"ME","Machinery and Equipment",449847.342446562,14,1.7,15.6907663323043,1797002.58104558,14.1123953133111,440.622577936758
1905,"ME","Machinery and Equipment",554159.769680548,14,1.7,15.6907663323043,2308917.49175047,18.1326152411213,566.143414700282
1906,"ME","Machinery and Equipment",723667.463935774,14,1.7,15.6907663323043,2970922.55163528,23.3315377151618,728.46615100036
1907,"ME","Machinery and Equipment",827979.89116976,14,1.7,15.6907663323043,3713437.06520175,29.1627248552626,910.52969535696
1908,"ME","Machinery and Equipment",461437.612139228,14,1.7,15.6907663323043,4060697.84928392,31.889866993771,995.677565211211
1909,"ME","Machinery and Equipment",564301.25566163,14,1.7,15.6907663323043,4481503.18789564,35.1945763754265,1098.85845936483
1910,"ME","Machinery and Equipment",693967.39784832,14,1.7,15.6907663323043,5002963.69612095,39.2897607173844,1226.71986359986
1911,"ME","Machinery and Equipment",630945.306394454,14,1.7,15.6907663323043,5431037.74563042,42.6515534458803,1331.68303573561
1912,"ME","Machinery and Equipment",903316.644172083,14,1.7,15.6907663323043,6100525.67507475,47.9092411183773,1495.84056142913
1913,"ME","Machinery and Equipment",1059060.89316727,14,1.7,15.6907663323043,6892551.3071434,54.1292537860966,1690.04416440393
1914,"ME","Machinery and Equipment",781618.8123991,14,1.7,15.6907663323043,7370007.72323568,57.8788609151251,1807.11582536316
1915,"ME","Machinery and Equipment",827255.499313968,14,1.7,15.6907663323043,7855444.47297289,61.6911399759121,1926.14425322997
