"year","I_ME_real_2017_dollars_millions","K_ME_gross_surviving_2017_dollars_millions","I_NRC_real_2017_dollars_millions","K_NRC_gross_surviving_2017_dollars_millions","K_core_ME_NRC_gross_surviving_2017_dollars_millions","core_stock_index_1947_100","core_stock_index_first_valid_100","log_K_core_ME_NRC_gross_surviving"
1901,407832.614810652,407832.614810652,1315562.44125393,1315562.44125393,1723395.05606458,2.51901575852798,100,14.3598067730733
1902,459264.436571853,863331.106278805,1680703.51963804,2991489.94268354,3854821.04896235,5.63443357602253,223.675995552925,15.1648351433995
1903,522286.528025719,1373033.68166407,1879751.54431674,4855491.01993933,6228524.7016034,9.10397869629945,361.410152575603,15.6446500571997
1904,449847.342446562,1797002.58104558,1738704.26855104,6562010.44172888,8359013.02277446,12.2180259575495,485.031739725567,15.9388509186146
1905,554159.769680548,2308917.49175047,1720249.484806,8229725.3836785,10538642.875429,15.4039013766959,611.504764293234,16.1705593333403
1906,723667.463935774,2970922.55163528,1954888.87813586,10108712.1670826,13079634.7187179,19.1179647732524,758.945818759953,16.3865669768998
1907,827979.89116976,3713437.06520175,2152618.70397563,12158565.4429482,15872002.5081499,23.1994540640756,920.972962774656,16.5800672665303
1908,461437.612139228,4060697.84928392,1886342.5385114,13911375.0832931,17972072.932577,26.2690407351842,1042.82955143301,16.7043296072864
1909,564301.25566163,4481503.18789564,2169755.28888174,15914438.1060257,20395941.2939214,29.811909549469,1183.47451573269,16.8308464828397
1910,693967.39784832,5002963.69612095,2549396.5544941,18261182.5022142,23264146.1983352,34.0042468359669,1349.90210842658,16.962423943612
1911,630945.306394454,5431037.74563042,2363530.51820471,20382009.3818824,25813047.1275128,37.7298706184715,1497.80208761058,17.0663906246841
1912,903316.644172083,6100525.67507475,2363530.51820471,22459871.2029585,28560396.8780332,41.7455588911025,1657.21705986854,17.1675315916288
1913,1059060.89316727,6892551.3071434,2381985.30194976,24511101.0900212,31403652.3971646,45.9014286860227,1822.19696445432,17.2624347624951
1914,781618.8123991,7370007.72323568,1894251.73154499,26027587.5670138,33397595.2902495,48.8158931041552,1937.89550299127,17.3239944580571
1915,827255.499313968,7855444.47297289,1531747.05083875,27134696.565685,34990141.0386579,51.1436518048087,2030.3029717724,17.3705768951633
1916,1349542.02733969,8826311.06916364,2031344.4107939,28696308.535572,37522619.6047356,54.8452716937804,2177.2500433197,17.4404544985546
1917,2018880.10209109,10425525.8231035,2297620.57625812,30478797.7086593,40904323.5317628,59.7881694077321,2373.47341735846,17.5267463252492
1918,2589700.88445485,12543567.2332507,2322666.35419783,32239214.0402851,44782781.2735358,65.4571517666702,2598.5209320374,17.6173342769323
1919,2602015.5460033,14606215.0192491,2682534.63722621,34310999.873211,48917214.8924601,71.5002835500701,2838.42144726606,17.7056399352832
1920,2870764.92450198,16856132.0688934,4176053.92173594,37825624.4143495,54681756.4832429,79.9260771931312,3172.90897933235,17.8170406922603
1921,2134782.79901774,18276109.8717559,2831491.1060255,39937689.0132314,58213798.8849874,85.0887184798599,3377.85574352987,17.879632978843
1922,2180419.48593261,19644228.9240349,3092494.476134,42250853.3921552,61895082.3161901,90.4694992487124,3591.46221862381,17.94095128888
1923,3038823.83504562,21773818.4080871,4000733.47615801,45411653.643146,67185472.0512331,98.202244601806,3898.4370887458,18.0229675924072
1924,2163758.47324941,22924084.5364408,4123325.96817866,48629908.7903183,71553993.3267591,104.587532696831,4151.92054050303,18.0859628741041
1925,2246139.39977877,24052476.282028,4042915.83900382,51697929.021454,75750405.303482,110.721255699832,4395.41735001028,18.1429543528805
1926,1889365.79527979,24724371.3816499,4723106.43989263,55373204.6934241,80097576.075074,117.075336640309,4647.66193875355,18.1987561503457
1927,1590939.18186412,25005338.0798857,4662469.29330177,58910148.7181816,83915486.7980673,122.655819909093,4869.19621260203,18.2453207407928
1928,1612305.71958189,25226424.8083618,4611059.53858343,62313872.3245394,87540297.1329012,127.954056272827,5079.52583621783,18.2876097839742
1929,1768765.68542665,25533750.6275001,5130429.88112256,66152417.4112601,91686168.0387602,134.01390546871,5320.0900000333,18.3338820865773
1930,1467294.24202991,25477750.6735687,4277555.23233369,69049543.5925571,94527294.2661258,138.166662965325,5484.94635246206,18.3643991789741
1931,989748.757718043,24892499.3361589,1662325.92711273,69242413.1782558,94134912.5144147,137.593134677402,5462.17840089284,18.3602395507775
1932,623868.773501061,23904638.0764576,922678.830451554,68616683.9402773,92521322.0167349,135.234615731231,5368.54981051238,18.3429496842087
1933,543835.045414787,22817975.460959,747212.600603993,67749146.3565613,90567121.8175203,132.378241576148,5255.15734183042,18.3216018113049
1934,637240.124604497,21822896.8863757,809696.399517645,66888182.3014813,88711079.1878571,129.665340308288,5147.46046622828,18.3008953457689
1935,703933.555703038,20906039.0303339,879553.172721427,66049443.912552,86955482.9428858,127.09925739472,5045.591992207,18.280906855349
