"stage_id","candidate_id","derived_variable_id","source_input_id","dependency_role","source_input_status","source_dataset","source_table","source_line","source_line_description","source_unit","provider_v1_commit","s21_intake_commit","s22_model_input_preparation_commit","s23_construction_plan_commit","s24a_income_distribution_construction_commit","s24b_fixed_assets_construction_commit","s24c_provider_other_construction_commit","s25_consolidation_commit","s26_completeness_review_commit","s27_derived_variable_planning_commit","s28_implementation_sequence_commit"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_COMPENSATION_SHARE_GVA","NFC_COMP","numerator","authorized_observation_bearing","NIPA","T11400","20","Compensation of employees","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_COMPENSATION_SHARE_GVA","NFC_GVA","denominator","authorized_observation_bearing","NIPA","T11400","17","Gross value added of nonfinancial corporate business","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_COMPENSATION_SHARE_NVA","NFC_COMP","numerator","authorized_observation_bearing","NIPA","T11400","20","Compensation of employees","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_COMPENSATION_SHARE_NVA","NFC_NVA","denominator","authorized_observation_bearing","NIPA","T11400","19","Net value added","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NOS","numerator","authorized_observation_bearing","NIPA","T11400","24","Net operating surplus","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_GVA","denominator","authorized_observation_bearing","NIPA","T11400","17","Gross value added of nonfinancial corporate business","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NOS","numerator","authorized_observation_bearing","NIPA","T11400","24","Net operating surplus","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_NFC_DISTRIBUTION_ACCOUNTING","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NVA","denominator","authorized_observation_bearing","NIPA","T11400","19","Net value added","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_CORP_DISTRIBUTION_ACCOUNTING","CORP_COMPENSATION_SHARE_GVA","CORP_COMP","numerator","authorized_observation_bearing","NIPA","T11400","4","Compensation of employees","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
"S29A_INCOME_DISTRIBUTION_VARIABLES_CONSTRUCTION","DV_PLAN_CORP_DISTRIBUTION_ACCOUNTING","CORP_COMPENSATION_SHARE_GVA","CORP_GVA","denominator","authorized_observation_bearing","NIPA","T11400","1","Gross value added of corporate business","Millions of current dollars","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","0c3399f67365aafff8b012d66fac37d3bceda3f3","1d6276ac35754e29acfeb755b6a351873cf59f6b","8d5ec75f0a86fef94f736ff38bb80f0294c1cc1b","e42e124679137a3acaa0f0c7d4eebd71c562656a","2b2403af2e56e2aa5cc54ea12f7da746f2e117e4"
