window,spec,basis,ecdet,T,m,p,serial_pass,port_Q4,port_p4,port_Q8,port_p8,arch_any,arch_share,skew_avg,kurt_avg,outlier_flag,note
fordism,Q2,ortho,const,49,5,1,TRUE,92.40501605609646,0.6928028672628447,197.81338834147758,0.530433583649762,TRUE,1,0.040134299381229324,2.9064690963506576,FALSE,pass
fordism,Q2,ortho,none,49,5,1,TRUE,91.86432373960392,0.7068394739582233,188.63531273683014,0.7074213256667627,TRUE,0.8,-0.0835910671201619,3.2809619832630603,FALSE,pass
fordism,Q2,raw,const,49,5,1,TRUE,92.40501605623686,0.6928028672591677,197.81338834217036,0.5304335836358856,TRUE,1,0.0012146550070447368,2.9573005453849768,FALSE,pass
fordism,Q2,raw,none,49,5,1,TRUE,91.86432373960307,0.7068394739582453,188.63531273672996,0.707421325668552,TRUE,0.8,-0.23722495624784795,3.3549140848431875,FALSE,pass
fordism,Q3,ortho,const,49,6,1,TRUE,150.60502897370924,0.33630903958106895,297.88766266936125,0.3317568212554016,TRUE,1,0.14515739187221474,3.3553966820245646,FALSE,pass
fordism,Q3,ortho,none,49,6,1,TRUE,150.88730005702763,0.33044480192014836,299.4819581001624,0.30857545250300644,TRUE,1,0.019560826959336086,3.639055890144381,FALSE,pass
fordism,Q3,raw,const,49,6,1,TRUE,150.60502919124684,0.33630903504324794,297.88766295968344,0.3317568169636669,TRUE,1,0.08803176587922813,2.906895040389074,FALSE,pass
fordism,Q3,raw,none,49,6,1,TRUE,150.88730007176716,0.3304448016151891,299.4819581364841,0.30857545198394765,TRUE,1,-0.1595613616035433,3.224790612683776,FALSE,pass
full,Q2,ortho,const,99,5,1,TRUE,88.4210740625343,0.789602746961866,190.52283939453113,0.6729529646382781,TRUE,1,-0.0298408421527295,5.210336710279352,FALSE,pass
full,Q2,ortho,none,99,5,1,TRUE,87.53029694612147,0.8088431003134259,182.88251884098185,0.8017817667452916,TRUE,1,-0.16884014923790466,5.450277773823901,FALSE,pass
full,Q2,raw,const,99,5,1,TRUE,88.42107406272547,0.7896027469576334,190.52283939468143,0.6729529646354775,TRUE,1,0.35449893983703007,5.102401702918631,FALSE,pass
full,Q2,raw,none,99,5,1,TRUE,87.53029694632009,0.8088431003092447,182.8825188411271,0.8017817667431456,TRUE,1,0.1309105836688962,5.335952477013183,FALSE,pass
full,Q3,ortho,const,99,6,1,TRUE,134.7124554602612,0.6984651605960561,275.34534063643275,0.6940345098481309,TRUE,1,0.12562798553359075,6.264928344303673,FALSE,pass
full,Q3,ortho,none,99,6,1,TRUE,133.9038903623519,0.7156236555554302,267.6335054833225,0.799973303698377,TRUE,1,0.003896544846667275,6.393750892159727,FALSE,pass
full,Q3,raw,const,99,6,1,TRUE,134.71245547083385,0.6984651603691361,275.3453404941782,0.6940345119901693,TRUE,1,0.5346623428401273,5.943347162861368,FALSE,pass
full,Q3,raw,none,99,6,1,TRUE,133.90389068116747,0.715623648869328,267.6335067391701,0.799973288314147,TRUE,1,0.3233803600213584,6.08646430452289,FALSE,pass
post_fordism,Q2,ortho,const,50,5,1,TRUE,58.22273775921437,0.9997297162198115,130.20446416050285,0.9999642746345142,TRUE,0.8,0.26892500744322523,5.343325831090349,FALSE,pass
post_fordism,Q2,ortho,none,50,5,1,TRUE,61.277429822775225,0.9991924689148433,132.86037027680786,0.9999261738468163,TRUE,0.8,0.22648980850962286,4.582563392207153,FALSE,pass
post_fordism,Q2,raw,const,50,5,1,TRUE,58.22273774531101,0.9997297162212376,130.20446425024448,0.9999642746336139,TRUE,0.8,0.24038734558469313,5.296119803311863,FALSE,pass
post_fordism,Q2,raw,none,50,5,1,TRUE,61.27742982555361,0.9991924689140852,132.86037028644944,0.9999261738466271,TRUE,0.8,-0.29124994083901506,4.559871680834906,FALSE,pass
post_fordism,Q3,ortho,const,50,6,1,TRUE,95.09730440873543,0.9994282040312794,226.7978637401697,0.9968213724546293,TRUE,0.6666666666666666,0.20998450414564876,5.409734148374489,FALSE,pass
post_fordism,Q3,ortho,none,50,6,1,TRUE,98.86612902977265,0.9984735832246665,229.53546548845975,0.9952753999579882,TRUE,0.8333333333333334,0.3511284528049846,5.10636906443975,FALSE,pass
post_fordism,Q3,raw,const,50,6,1,TRUE,95.09731770679323,0.9994282019429872,226.7978468916042,0.9968213804002978,TRUE,0.6666666666666666,0.49814791741897013,5.607555480237281,FALSE,pass
post_fordism,Q3,raw,none,50,6,1,TRUE,98.86612949153022,0.9984735830507029,229.5354662339362,0.9952753994606073,TRUE,0.8333333333333334,-0.21957955753344804,5.285219783871102,FALSE,pass
