"run_id","timestamp","message"
1,"2026-03-03 18:33:41","Stage S1 run: SR=none LR=none (P=1..7)"
2,"2026-03-04 10:20:53","Stage S1 run: SR=none LR=none (P=1..7)"
3,"2026-03-04 13:05:37","Stage S1 run: SR=none LR=none (P=1..7)"
