"run_id","source_queue_id","candidate_model_id","model_family","window_id","grid_id","estimator","deterministic_closure","n_lag","n_lead","status","nominal_start_year","nominal_end_year","effective_start_year","effective_end_year","n_effective","rank","df_residual","contract_status","sample_rule_status","trend_gate_status","preliminary_status","notes"
"D12F_R_RUN_001","D12F_R_FULL_REFERENCE_LL11","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",1,1,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1929,2024,1933,2023,91,15,76,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_002","D12F_R_FULL_REFERENCE_LL22","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL22","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",2,2,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1929,2024,1934,2022,89,21,68,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_003","D12F_QUEUE_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL00","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",0,0,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1940,1978,1941,1978,38,9,29,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_004","D12F_QUEUE_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL11","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",1,1,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1940,1978,1942,1977,36,15,21,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_005","D12F_QUEUE_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL22","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",2,2,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1940,1978,1943,1976,34,21,13,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_006","D12F_QUEUE_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL00","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",0,0,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1945,1973,1946,1973,28,9,19,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_007","D12F_QUEUE_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL11","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",1,1,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1945,1973,1947,1972,26,15,11,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_008","D12F_QUEUE_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL00","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",0,0,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1974,2024,1975,2024,50,9,41,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_009","D12F_QUEUE_004","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL11","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",1,1,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1974,2024,1976,2023,48,15,33,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
"D12F_R_RUN_010","D12F_QUEUE_005","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL22","RESTRICTED_DOLS","NO_TREND_INTERCEPT_ALLOWED",2,2,"PASS_CONTROLLED_PRELIMINARY_NO_TREND",1974,2024,1977,2022,46,21,25,"PASS_CONTRACT_FIRST","PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","PASS_NO_TREND","CONTROLLED_PRELIMINARY","manual RDOLS controlled preliminary no-trend robustness run"
