"candidate_model_id","model_family","window_id","grid_id","nominal_start_year","nominal_end_year","complete_case_start_year","complete_case_end_year","n_lag","n_lead","effective_start_year_formula","effective_end_year_formula","effective_start_year","effective_end_year","n_complete_case","n_effective","uses_maximal_feasible_sample","common_overlap_forced","borrowed_outside_window","sample_rule_status","notes"
"RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11",1929,2024,1931,2024,1,1,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1933,2023,94,91,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL22",1929,2024,1931,2024,2,2,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1934,2022,94,89,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL00",1940,1978,1940,1978,0,0,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1941,1978,39,38,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL11",1940,1978,1940,1978,1,1,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1942,1977,39,36,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL22",1940,1978,1940,1978,2,2,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1943,1976,39,34,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL00",1945,1973,1945,1973,0,0,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1946,1973,29,28,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL11",1945,1973,1945,1973,1,1,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1947,1972,29,26,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL00",1974,2024,1974,2024,0,0,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1975,2024,51,50,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL11",1974,2024,1974,2024,1,1,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1976,2023,51,48,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL22",1974,2024,1974,2024,2,2,"complete_case_start_year + 1 + n_lag","complete_case_end_year - n_lead",1977,2022,51,46,TRUE,FALSE,FALSE,"PASS_MAXIMAL_FEASIBLE_EFFECTIVE_SAMPLE","No common-overlap equalization; mechanical first-difference, lead, and lag trimming only."
