"candidate_model_id","window_id","grid_id","source_d12e_status","no_trend_n_effective","no_trend_n_design_columns","no_trend_rank_precheck","no_trend_df_precheck","no_trend_feasibility_status","d12f_r_execution_decision","notes"
"RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","full_sample","LL11","BLOCKED_D12E",0,0,0,0,"BLOCKED_FORBIDDEN_WINDOW","BLOCKED_FORBIDDEN_WINDOW","No feasible D12E row for no-trend recheck."
"RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","full_sample","LL22","BLOCKED_D12E",0,0,0,0,"BLOCKED_FORBIDDEN_WINDOW","BLOCKED_FORBIDDEN_WINDOW","No feasible D12E row for no-trend recheck."
"RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL00","bridge_1940_1978","LL00","D12F_QUEUE",38,9,9,29,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL11","bridge_1940_1978","LL11","D12F_QUEUE",36,15,15,21,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","bridge_1940_1978","LL22","D12F_QUEUE",34,21,21,13,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","fordist_core","LL00","D12F_QUEUE",28,9,9,19,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","fordist_core","LL11","D12F_QUEUE",26,15,15,11,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL00","post_1973_full","LL00","D12F_QUEUE",50,9,9,41,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","post_1973_full","LL11","D12F_QUEUE",48,15,15,33,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","post_1973_full","LL22","D12F_QUEUE",46,21,21,25,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL33","post_1973_full","LL33","D12F_QUEUE",44,27,27,17,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL00","pre_1974_alt_1940_1973","LL00","D12F_QUEUE",33,9,9,24,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
"RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL11","pre_1974_alt_1940_1973","LL11","D12F_QUEUE",31,15,15,16,"PASS_NO_TREND_FEASIBLE","EXECUTED_IF_IN_D12F_QUEUE","No-trend RHS precheck only; newly feasible blocked candidates are not executed in D12F-R."
