"run_id","candidate_model_id","model_family","window_id","grid_id","diagnostic_name","diagnostic_value","diagnostic_status","review_flag","notes"
"D12F_R_RUN_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","effective sample size","91","CONTROLLED_PRELIMINARY","PASS","D12F-R diagnostic only"
"D12F_R_RUN_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","design rank","15","CONTROLLED_PRELIMINARY","PASS","D12F-R diagnostic only"
"D12F_R_RUN_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","df residual","76","CONTROLLED_PRELIMINARY","PASS","D12F-R diagnostic only"
"D12F_R_RUN_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_R_RUN_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","lead/lag sample loss","2","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_R_RUN_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","residual summary statistics","min=-0.177969917811472; q1=-0.0368646437682481; median=0.00139537238019049; mean=3.07188133389729e-18; q3=0.0433907742082433; max=0.131198119619423; sd=0.0589127965528365","CONTROLLED_PRELIMINARY","PASS","D12F-R diagnostic only"
"D12F_R_RUN_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL11","condition number warning","PASS_CONDITION_NUMBER_57393.41","CONTROLLED_PRELIMINARY","PASS","Requires D12G review if WARN"
"D12F_R_RUN_002","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL22","effective sample size","89","CONTROLLED_PRELIMINARY","PASS","D12F-R diagnostic only"
"D12F_R_RUN_002","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL22","design rank","21","CONTROLLED_PRELIMINARY","PASS","D12F-R diagnostic only"
"D12F_R_RUN_002","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","FULL_SAMPLE_NO_TREND_REFERENCE","full_sample","LL22","df residual","68","CONTROLLED_PRELIMINARY","PASS","D12F-R diagnostic only"
