"term","coefficient_role","full_sample_no_trend_LL11","full_sample_no_trend_LL22","pre_1974_full_no_trend_LL00","pre_1974_full_no_trend_LL11","pre_1974_full_no_trend_LL22","post_1973_full_no_trend_LL00","post_1973_full_no_trend_LL11","post_1973_full_no_trend_LL22","post_1973_full_no_trend_LL33","fordist_core_no_trend_LL00","fordist_core_no_trend_LL11","bridge_1940_1978_no_trend_LL00","bridge_1940_1978_no_trend_LL11","bridge_1940_1978_no_trend_LL22","pre_1974_alt_1940_1973_no_trend_LL00","pre_1974_alt_1940_1973_no_trend_LL11","pre_1974_alt_1947_1973_no_trend_LL00","preliminary_status","allowed_interpretation"
"k_me_log","long_run_level","  0.703***","  0.637***"," 0.267"," -1.746","-0.067","  0.396*","  0.463**","  0.465*","  0.203"," -0.304"," -2.133"," -0.773"," -1.495"," -2.370"," -0.186"," -1.312"," -1.349","CONTROLLED_PRELIMINARY","DESIGN_STAGE_PRELIMINARY_ONLY"
"k_nrc_log","long_run_level"," -1.600*"," -1.789*"," 1.068","  5.646"," 0.284"," -2.557***"," -2.300***"," -1.843"," -0.929","  2.214","  9.059*","  3.830","  6.348","  8.734","  2.690","  7.168","  6.747","CONTROLLED_PRELIMINARY","DESIGN_STAGE_PRELIMINARY_ONLY"
"omega_nfc","long_run_level","-33.085**","-38.335*","12.155"," 92.892","-1.900","-58.758***","-51.049**","-39.451","-20.763"," 36.628","165.480*"," 66.608","112.910","155.912"," 49.126","132.719","124.338","CONTROLLED_PRELIMINARY","DESIGN_STAGE_PRELIMINARY_ONLY"
"k_me_log_x_omega","long_run_level"," -0.770**"," -0.676*","-0.138","  2.945"," 0.155"," -0.122"," -0.235"," -0.223","  0.167","  0.884","  3.748*","  1.545","  2.677","  4.101","  0.671","  2.478","  2.558","CONTROLLED_PRELIMINARY","DESIGN_STAGE_PRELIMINARY_ONLY"
"k_nrc_log_x_omega","long_run_level","  2.832**","  3.138*","-1.016"," -8.210"," 0.422","  4.104***","  3.709**","  2.950","  1.370"," -3.288","-14.075*"," -5.768"," -9.711","-13.577"," -4.080","-11.198","-10.550","CONTROLLED_PRELIMINARY","DESIGN_STAGE_PRELIMINARY_ONLY"
"(Intercept)","deterministic_intercept"," 31.033***"," 34.384**","-0.509","-51.609"," 7.437"," 48.139***"," 43.202***"," 36.116*"," 25.786","-12.776","-94.453*","-31.924","-61.499","-88.146","-20.068","-72.711","-67.504","CONTROLLED_PRELIMINARY","DESIGN_STAGE_PRELIMINARY_ONLY"
